norm_name,raw_name,sources,source_count,ida_ny,ida_oh,nursing_home,charter_school,faith_hospital,oge_trade,fara,capitol_trade,water_epa,opioid,hrsa_340b,opioid_vendor,fara_principal,dol_whd,nih_exporter,osha,msha,cfpb,sam_gov,usaspending
AMERICAN SECURITY GUARD,AMERICAN SECURITY GUARD,dol_whd|osha,2,,,,,,,,,,,,,,Y,,Y,,,,
AMERICAN SECURITY PROGRAMS,AMERICAN SECURITY PROGRAMS,dol_whd|usaspending,2,,,,,,,,,,,,,,Y,,,,,,Y
AMERICAN SEWER SERVICE,AMERICAN SEWER SERVICE,dol_whd|osha,2,,,,,,,,,,,,,,Y,,Y,,,,
AMERICAN SHOWA,AMERICAN SHOWA,dol_whd|ida_oh,2,,Y,,,,,,,,,,,,Y,,,,,,
AMERICAN SOCIETY FOR CLINICAL PATHOLOGY,AMERICAN SOCIETY FOR CLINICAL PATHOLOGY,dol_whd|usaspending,2,,,,,,,,,,,,,,Y,,,,,,Y
AMERICAN SOCIETY FOR MICROBIOLOGY,AMERICAN SOCIETY FOR MICROBIOLOGY,nih_exporter|usaspending,2,,,,,,,,,,,,,,,Y,,,,,Y
AMERICAN SOCIETY OF ADDICTION MEDICINE,AMERICAN SOCIETY OF ADDICTION MEDICINE,nih_exporter|usaspending,2,,,,,,,,,,,,,,,Y,,,,,Y
AMERICAN SOCIETY OF AGRICULTURAL AND BIOLOGICAL ENGINEERS,AMERICAN SOCIETY OF AGRICULTURAL AND BIOLOGICAL ENGINEERS,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMERICAN SOCIETY OF HEALTH SYSTEM PHARMACISTS,AMERICAN SOCIETY OF HEALTH SYSTEM PHARMACISTS,nih_exporter|usaspending,2,,,,,,,,,,,,,,,Y,,,,,Y
AMERICAN SPECIAL METALS,AMERICAN SPECIAL METALS,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMERICAN SPECIALTIES,AMERICAN SPECIALTIES,dol_whd|sam_gov,2,,,,,,,,,,,,,,Y,,,,,Y,
AMERICAN STAFFING RESOURCES,AMERICAN STAFFING RESOURCES,dol_whd|osha,2,,,,,,,,,,,,,,Y,,Y,,,,
AMERICAN STANDARD,AMERICAN STANDARD,dol_whd|osha,2,,,,,,,,,,,,,,Y,,Y,,,,
AMERICAN STATISTICAL ASSOCIATION,AMERICAN STATISTICAL ASSOCIATION,nih_exporter|sam_gov,2,,,,,,,,,,,,,,,Y,,,,Y,
AMERICAN STEEL ERECTORS,AMERICAN STEEL ERECTORS,dol_whd|osha,2,,,,,,,,,,,,,,Y,,Y,,,,
AMERICAN SUPERCONDUCTOR,AMERICAN SUPERCONDUCTOR,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMERICAN TECHNICAL SERVICES,AMERICAN TECHNICAL SERVICES,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMERICAN TECHNOLOGY SOLUTIONS,AMERICAN TECHNOLOGY SOLUTIONS,dol_whd|usaspending,2,,,,,,,,,,,,,,Y,,,,,,Y
AMERICAN TELEPHONE TELEGRAPH,AMERICAN TELEPHONE TELEGRAPH,dol_whd|osha,2,,,,,,,,,,,,,,Y,,Y,,,,
AMERICAN TESTING,AMERICAN TESTING,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMERICAN THERMOFORM,AMERICAN THERMOFORM,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMERICAN TOWER,American Tower Corp,capitol_trade|usaspending,2,,,,,,,,Y,,,,,,,,,,,,Y
AMERICAN TOWER MANAGEMENT,AMERICAN TOWER MANAGEMENT,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMERICAN TOWING RECOVERY,AMERICAN TOWING RECOVERY,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMERICAN TRAILER SALES,AMERICAN TRAILER SALES,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMERICAN TRUCK SERVICES,AMERICAN TRUCK SERVICES,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMERICAN TRUCKING,AMERICAN TRUCKING,dol_whd|sam_gov,2,,,,,,,,,,,,,,Y,,,,,Y,
AMERICAN TYPE CULTURE COLLECTION,AMERICAN TYPE CULTURE COLLECTION,nih_exporter|usaspending,2,,,,,,,,,,,,,,,Y,,,,,Y
AMERICAN UNDERGROUND,AMERICAN UNDERGROUND,osha|sam_gov,2,,,,,,,,,,,,,,,,Y,,,Y,
AMERICAN UNIVERSITY,AMERICAN UNIVERSITY,nih_exporter|usaspending,2,,,,,,,,,,,,,,,Y,,,,,Y
AMERICAN UNIVERSITY OF BEIRUT,AMERICAN UNIVERSITY OF BEIRUT,nih_exporter|usaspending,2,,,,,,,,,,,,,,,Y,,,,,Y
