norm_name,raw_name,sources,source_count,ida_ny,ida_oh,nursing_home,charter_school,faith_hospital,oge_trade,fara,capitol_trade,water_epa,opioid,hrsa_340b,opioid_vendor,fara_principal,dol_whd,nih_exporter,osha,msha,cfpb,sam_gov,usaspending
EATON,EATON,capitol_trade|dol_whd|ida_oh|oge_trade|opioid|osha|sam_gov|usaspending|water_epa,9,,Y,,,,Y,,Y,Y,Y,,,,Y,,Y,,,Y,Y
LOCKHEED MARTIN,Lockheed Martin Corp.,capitol_trade|dol_whd|ida_ny|ida_oh|oge_trade|osha|sam_gov|usaspending,8,Y,Y,,,,Y,,Y,,,,,,Y,,Y,,,Y,Y
AIR PRODUCTS AND CHEMICALS,"Air Products and Chemicals, Inc.",capitol_trade|dol_whd|ida_ny|oge_trade|osha|usaspending|water_epa,7,Y,,,,,Y,,Y,Y,,,,,Y,,Y,,,,Y
BOOZ ALLEN HAMILTON,Booz Allen Hamilton Inc.,fara|ida_ny|ida_oh|nih_exporter|osha|sam_gov|usaspending,7,Y,Y,,,,,Y,,,,,,,,Y,Y,,,Y,Y
CATERPILLAR,CATERPILLAR,capitol_trade|dol_whd|ida_oh|osha|sam_gov|usaspending|water_epa,7,,Y,,,,,,Y,Y,,,,,Y,,Y,,,Y,Y
CORNING,Corning,capitol_trade|dol_whd|ida_ny|osha|sam_gov|usaspending|water_epa,7,Y,,,,,,,Y,Y,,,,,Y,,Y,,,Y,Y
EXXON MOBIL,Exxon Mobil Corp.,capitol_trade|dol_whd|msha|oge_trade|osha|usaspending|water_epa,7,,,,,,Y,,Y,Y,,,,,Y,,Y,Y,,,Y
GENERAL ELECTRIC COMPANY,General Electric Company,dol_whd|ida_ny|ida_oh|msha|osha|sam_gov|usaspending,7,Y,Y,,,,,,,,,,,,Y,,Y,Y,,Y,Y
GENERAL MOTORS,"""General Motors, LLC""",capitol_trade|dol_whd|ida_ny|ida_oh|osha|sam_gov|usaspending,7,Y,Y,,,,,,Y,,,,,,Y,,Y,,,Y,Y
HONEYWELL INTERNATIONAL,"Honeywell International, Inc.",capitol_trade|dol_whd|oge_trade|osha|sam_gov|usaspending|water_epa,7,,,,,,Y,,Y,Y,,,,,Y,,Y,,,Y,Y
JEFFERSON COUNTY,JEFFERSON COUNTY,dol_whd|msha|opioid|opioid_vendor|osha|usaspending|water_epa,7,,,,,,,,,Y,Y,,Y,,Y,,Y,Y,,,Y
PARKER HANNIFIN,PARKER HANNIFIN,capitol_trade|dol_whd|ida_oh|osha|sam_gov|usaspending|water_epa,7,,Y,,,,,,Y,Y,,,,,Y,,Y,,,Y,Y
PPG INDUSTRIES,PPG INDUSTRIES,capitol_trade|dol_whd|ida_oh|msha|osha|usaspending|water_epa,7,,Y,,,,,,Y,Y,,,,,Y,,Y,Y,,,Y
UNITED PARCEL SERVICE,UNITED PARCEL SERVICE,capitol_trade|dol_whd|ida_oh|osha|sam_gov|usaspending|water_epa,7,,Y,,,,,,Y,Y,,,,,Y,,Y,,,Y,Y
AT T,AT&T,capitol_trade|dol_whd|oge_trade|osha|usaspending|water_epa,6,,,,,,Y,,Y,Y,,,,,Y,,Y,,,,Y
BARNES JEWISH HOSPITAL,BARNES JEWISH HOSPITAL,dol_whd|hrsa_340b|nursing_home|sam_gov|usaspending|water_epa,6,,,Y,,,,,,Y,,Y,,,Y,,,,,Y,Y
CARDINAL HEALTH,CARDINAL HEALTH,capitol_trade|dol_whd|ida_oh|opioid|usaspending|water_epa,6,,Y,,,,,,Y,Y,Y,,,,Y,,,,,,Y
CARGILL,"Cargill, Inc.",dol_whd|ida_ny|msha|osha|usaspending|water_epa,6,Y,,,,,,,,Y,,,,,Y,,Y,Y,,,Y
CINTAS,Cintas Corporation,capitol_trade|dol_whd|ida_ny|ida_oh|osha|usaspending,6,Y,Y,,,,,,Y,,,,,,Y,,Y,,,,Y
CITY OF HOUSTON,CITY OF HOUSTON,capitol_trade|dol_whd|opioid|sam_gov|usaspending|water_epa,6,,,,,,,,Y,Y,Y,,,,Y,,,,,Y,Y
CITY OF PORTLAND,CITY OF PORTLAND,dol_whd|nursing_home|opioid|osha|sam_gov|usaspending,6,,,Y,,,,,,,Y,,,,Y,,Y,,,Y,Y
CORNELL UNIVERSITY,Cornell University,dol_whd|ida_ny|nih_exporter|osha|sam_gov|usaspending,6,Y,,,,,,,,,,,,,Y,Y,Y,,,Y,Y
COUNTY OF SANTA CLARA,COUNTY OF SANTA CLARA,dol_whd|hrsa_340b|nursing_home|osha|sam_gov|usaspending,6,,,Y,,,,,,,,Y,,,Y,,Y,,,Y,Y
CSX TRANSPORTATION,CSX TRANSPORTATION,dol_whd|ida_oh|osha|sam_gov|usaspending|water_epa,6,,Y,,,,,,,Y,,,,,Y,,Y,,,Y,Y
CUMMINS,Cummins Inc.,capitol_trade|dol_whd|ida_ny|sam_gov|usaspending|water_epa,6,Y,,,,,,,Y,Y,,,,,Y,,,,,Y,Y
FEDEX,FedEx,capitol_trade|dol_whd|ida_ny|ida_oh|oge_trade|sam_gov,6,Y,Y,,,,Y,,Y,,,,,,Y,,,,,Y,
FERGUSON ENTERPRISES,Ferguson Enterprises,dol_whd|ida_ny|ida_oh|osha|usaspending|water_epa,6,Y,Y,,,,,,,Y,,,,,Y,,Y,,,,Y
FORD MOTOR,FORD MOTOR,capitol_trade|dol_whd|ida_oh|oge_trade|osha|usaspending,6,,Y,,,,Y,,Y,,,,,,Y,,Y,,,,Y
GOOD SAMARITAN HOSPITAL,GOOD SAMARITAN HOSPITAL,dol_whd|faith_hospital|hrsa_340b|nursing_home|osha|water_epa,6,,,Y,,Y,,,,Y,,Y,,,Y,,Y,,,,
INTERNATIONAL PAPER COMPANY,International Paper Company,dol_whd|ida_ny|ida_oh|osha|usaspending|water_epa,6,Y,Y,,,,,,,Y,,,,,Y,,Y,,,,Y
KING COUNTY,King County,dol_whd|hrsa_340b|msha|opioid|sam_gov|usaspending,6,,,,,,,,,,Y,Y,,,Y,,,Y,,Y,Y
LINDE,Linde Plc,capitol_trade|dol_whd|oge_trade|sam_gov|usaspending|water_epa,6,,,,,,Y,,Y,Y,,,,,Y,,,,,Y,Y
MCKESSON,McKesson Corporation,capitol_trade|dol_whd|ida_ny|ida_oh|opioid|usaspending,6,Y,Y,,,,,,Y,,Y,,,,Y,,,,,,Y
MEDTRONIC,Medtronic Plc,capitol_trade|dol_whd|oge_trade|sam_gov|usaspending|water_epa,6,,,,,,Y,,Y,Y,,,,,Y,,,,,Y,Y
MERCY MEDICAL CENTER,MERCY MEDICAL CENTER,dol_whd|faith_hospital|hrsa_340b|nursing_home|osha|water_epa,6,,,Y,,Y,,,,Y,,Y,,,Y,,Y,,,,
MICHIGAN STATE UNIVERSITY,MICHIGAN STATE UNIVERSITY,capitol_trade|dol_whd|nih_exporter|opioid|usaspending|water_epa,6,,,,,,,,Y,Y,Y,,,,Y,Y,,,,,Y
ROCKWELL AUTOMATION,"Rockwell Automation, Inc.",capitol_trade|dol_whd|oge_trade|osha|usaspending|water_epa,6,,,,,,Y,,Y,Y,,,,,Y,,Y,,,,Y
SCHLUMBERGER,Schlumberger,capitol_trade|dol_whd|fara_principal|ida_ny|msha|water_epa,6,Y,,,,,,,Y,Y,,,,Y,Y,,,Y,,,
SUNOCO,"Sunoco, Inc.",capitol_trade|dol_whd|ida_ny|msha|usaspending|water_epa,6,Y,,,,,,,Y,Y,,,,,Y,,,Y,,,Y
TARGET,TARGET CORPORATION,capitol_trade|dol_whd|ida_oh|oge_trade|osha|water_epa,6,,Y,,,,Y,,Y,Y,,,,,Y,,Y,,,,
TYSON FOODS,Tyson Foods Inc,capitol_trade|dol_whd|osha|sam_gov|usaspending|water_epa,6,,,,,,,,Y,Y,,,,,Y,,Y,,,Y,Y
UNITED RENTALS,United Rentals,capitol_trade|dol_whd|ida_ny|osha|sam_gov|usaspending,6,Y,,,,,,,Y,,,,,,Y,,Y,,,Y,Y
WASHINGTON STATE UNIVERSITY,WASHINGTON STATE UNIVERSITY,capitol_trade|dol_whd|nih_exporter|osha|usaspending|water_epa,6,,,,,,,,Y,Y,,,,,Y,Y,Y,,,,Y
WASTE MANAGEMENT,Waste Management Inc,capitol_trade|dol_whd|msha|osha|usaspending|water_epa,6,,,,,,,,Y,Y,,,,,Y,,Y,Y,,,Y
WHIRLPOOL,WHIRLPOOL,capitol_trade|dol_whd|ida_oh|oge_trade|osha|water_epa,6,,Y,,,,Y,,Y,Y,,,,,Y,,Y,,,,
ABBOTT LABORATORIES,ABBOTT LABORATORIES,capitol_trade|dol_whd|ida_oh|oge_trade|usaspending,5,,Y,,,,Y,,Y,,,,,,Y,,,,,,Y
ACCENTURE,Accenture Plc,capitol_trade|cfpb|dol_whd|oge_trade|usaspending,5,,,,,,Y,,Y,,,,,,Y,,,,Y,,Y
ACE,"ACE, Ltd.",dol_whd|fara_principal|osha|sam_gov|usaspending,5,,,,,,,,,,,,,Y,Y,,Y,,,Y,Y
AGILENT TECHNOLOGIES,Agilent Technologies Inc,capitol_trade|dol_whd|sam_gov|usaspending|water_epa,5,,,,,,,,Y,Y,,,,,Y,,,,,Y,Y
ALCOA,ALCOA,capitol_trade|dol_whd|ida_oh|msha|osha,5,,Y,,,,,,Y,,,,,,Y,,Y,Y,,,
ALLISON TRANSMISSION,ALLISON TRANSMISSION INC,dol_whd|osha|sam_gov|usaspending|water_epa,5,,,,,,,,,Y,,,,,Y,,Y,,,Y,Y
ALTAMED HEALTH SERVICES,ALTAMED Health Services Corporation,dol_whd|hrsa_340b|nih_exporter|sam_gov|usaspending,5,,,,,,,,,,,Y,,,Y,Y,,,,Y,Y
AMAZON COM SERVICES,Amazon.com Services LLC,dol_whd|ida_ny|ida_oh|usaspending|water_epa,5,Y,Y,,,,,,,Y,,,,,Y,,,,,,Y
AMETEK,AMETEK Inc,capitol_trade|dol_whd|osha|sam_gov|usaspending,5,,,,,,,,Y,,,,,,Y,,Y,,,Y,Y
APPLE,Apple Inc.,capitol_trade|dol_whd|oge_trade|usaspending|water_epa,5,,,,,,Y,,Y,Y,,,,,Y,,,,,,Y
ARMSTRONG WORLD INDUSTRIES,Armstrong World Industries Inc,capitol_trade|msha|osha|sam_gov|water_epa,5,,,,,,,,Y,Y,,,,,,,Y,Y,,Y,
AUSTIN POWDER COMPANY,AUSTIN POWDER COMPANY,dol_whd|osha|sam_gov|usaspending|water_epa,5,,,,,,,,,Y,,,,,Y,,Y,,,Y,Y
AVERY DENNISON,AVERY DENNISON,capitol_trade|dol_whd|ida_oh|usaspending|water_epa,5,,Y,,,,,,Y,Y,,,,,Y,,,,,,Y
BANK OF AMERICA,Bank of America Corporation,capitol_trade|dol_whd|ida_ny|oge_trade|osha,5,Y,,,,,Y,,Y,,,,,,Y,,Y,,,,
BETH ISRAEL DEACONESS MEDICAL CENTER,BETH ISRAEL DEACONESS MEDICAL CENTER,dol_whd|hrsa_340b|nih_exporter|sam_gov|usaspending,5,,,,,,,,,,,Y,,,Y,Y,,,,Y,Y
BOWLING GREEN STATE UNIVERSITY,BOWLING GREEN STATE UNIVERSITY,capitol_trade|dol_whd|ida_oh|nih_exporter|usaspending,5,,Y,,,,,,Y,,,,,,Y,Y,,,,,Y
CARGILL MEAT SOLUTIONS,CARGILL MEAT SOLUTIONS CORP,dol_whd|osha|sam_gov|usaspending|water_epa,5,,,,,,,,,Y,,,,,Y,,Y,,,Y,Y
CBRE,CBRE,dol_whd|ida_oh|osha|sam_gov|usaspending,5,,Y,,,,,,,,,,,,Y,,Y,,,Y,Y
CEDARS SINAI MEDICAL CENTER,CEDARS-SINAI MEDICAL CENTER,dol_whd|hrsa_340b|nih_exporter|osha|usaspending,5,,,,,,,,,,,Y,,,Y,Y,Y,,,,Y
CHS,CHS INC,cfpb|dol_whd|osha|usaspending|water_epa,5,,,,,,,,,Y,,,,,Y,,Y,,Y,,Y
CHURCH DWIGHT,CHURCH DWIGHT,capitol_trade|dol_whd|ida_oh|osha|water_epa,5,,Y,,,,,,Y,Y,,,,,Y,,Y,,,,
CITY COUNTY OF SAN FRANCISCO,CITY & COUNTY OF SAN FRANCISCO,dol_whd|nursing_home|osha|sam_gov|usaspending,5,,,Y,,,,,,,,,,,Y,,Y,,,Y,Y
CITY OF ATLANTA,CITY OF ATLANTA,capitol_trade|dol_whd|opioid|opioid_vendor|water_epa,5,,,,,,,,Y,Y,Y,,Y,,Y,,,,,,
CITY OF BRIDGEPORT,CITY OF BRIDGEPORT,dol_whd|opioid|sam_gov|usaspending|water_epa,5,,,,,,,,,Y,Y,,,,Y,,,,,Y,Y
CITY OF FLORENCE,CITY OF FLORENCE,opioid|osha|sam_gov|usaspending|water_epa,5,,,,,,,,,Y,Y,,,,,,Y,,,Y,Y
CITY OF JACKSONVILLE,CITY OF JACKSONVILLE,dol_whd|opioid|sam_gov|usaspending|water_epa,5,,,,,,,,,Y,Y,,,,Y,,,,,Y,Y
CITY OF KERRVILLE,CITY OF KERRVILLE,dol_whd|opioid|sam_gov|usaspending|water_epa,5,,,,,,,,,Y,Y,,,,Y,,,,,Y,Y
CITY OF LOS ANGELES,CITY OF LOS ANGELES,capitol_trade|dol_whd|osha|sam_gov|usaspending,5,,,,,,,,Y,,,,,,Y,,Y,,,Y,Y
CITY OF RICHLAND,CITY OF RICHLAND,opioid|osha|sam_gov|usaspending|water_epa,5,,,,,,,,,Y,Y,,,,,,Y,,,Y,Y
CITY OF SEATTLE,CITY OF SEATTLE,capitol_trade|dol_whd|msha|osha|usaspending,5,,,,,,,,Y,,,,,,Y,,Y,Y,,,Y
CLARK COUNTY,CLARK COUNTY,dol_whd|msha|nursing_home|opioid|sam_gov,5,,,Y,,,,,,,Y,,,,Y,,,Y,,Y,
COLORADO STATE UNIVERSITY,Colorado State University,dol_whd|nih_exporter|opioid_vendor|sam_gov|usaspending,5,,,,,,,,,,,,Y,,Y,Y,,,,Y,Y
COMMUNITY MEMORIAL HOSPITAL,COMMUNITY MEMORIAL HOSPITAL,dol_whd|hrsa_340b|sam_gov|usaspending|water_epa,5,,,,,,,,,Y,,Y,,,Y,,,,,Y,Y
COSTCO WHOLESALE,Costco Wholesale Corporation,capitol_trade|dol_whd|ida_ny|oge_trade|osha,5,Y,,,,,Y,,Y,,,,,,Y,,Y,,,,
COUNTY OF SAN DIEGO,COUNTY OF SAN DIEGO,capitol_trade|dol_whd|nursing_home|sam_gov|usaspending,5,,,Y,,,,,Y,,,,,,Y,,,,,Y,Y
COVENANT MEDICAL CENTER,"COVENANT MEDICAL CENTER, INC.",dol_whd|faith_hospital|hrsa_340b|nursing_home|usaspending,5,,,Y,,Y,,,,,,Y,,,Y,,,,,,Y
CSR,"CSR, Ltd.",fara_principal|msha|nih_exporter|sam_gov|usaspending,5,,,,,,,,,,,,,Y,,Y,,Y,,Y,Y
DELTA AIR LINES,"Delta Air Lines, Inc.",capitol_trade|dol_whd|oge_trade|osha|usaspending,5,,,,,,Y,,Y,,,,,,Y,,Y,,,,Y
DELTA INDUSTRIES,DELTA INDUSTRIES,dol_whd|msha|osha|sam_gov|usaspending,5,,,,,,,,,,,,,,Y,,Y,Y,,Y,Y
DOCTORS HOSPITAL,DOCTORS HOSPITAL,dol_whd|faith_hospital|hrsa_340b|osha|sam_gov,5,,,,,Y,,,,,,Y,,,Y,,Y,,,Y,
DOLLAR GENERAL,Dollar General Corp.,capitol_trade|dol_whd|oge_trade|osha|water_epa,5,,,,,,Y,,Y,Y,,,,,Y,,Y,,,,
DOMINO S PIZZA,Domino's Pizza,capitol_trade|dol_whd|oge_trade|opioid_vendor|osha,5,,,,,,Y,,Y,,,,Y,,Y,,Y,,,,
DOUGLAS COUNTY,DOUGLAS COUNTY,dol_whd|msha|opioid|opioid_vendor|osha,5,,,,,,,,,,Y,,Y,,Y,,Y,Y,,,
ECOLAB,Ecolab Inc,capitol_trade|dol_whd|sam_gov|usaspending|water_epa,5,,,,,,,,Y,Y,,,,,Y,,,,,Y,Y
ENVIRONMENTAL RESTORATION,ENVIRONMENTAL RESTORATION LLC,dol_whd|msha|osha|usaspending|water_epa,5,,,,,,,,,Y,,,,,Y,,Y,Y,,,Y
EXEL,EXEL,dol_whd|fara_principal|ida_oh|osha|sam_gov,5,,Y,,,,,,,,,,,Y,Y,,Y,,,Y,
FEDERAL EXPRESS,Federal Express Corporation,dol_whd|ida_ny|osha|usaspending|water_epa,5,Y,,,,,,,,Y,,,,,Y,,Y,,,,Y
FORD MOTOR COMPANY,Ford Motor Company,dol_whd|ida_ny|ida_oh|oge_trade|osha,5,Y,Y,,,,Y,,,,,,,,Y,,Y,,,,
GENERAL ELECTRIC,GENERAL ELECTRIC,capitol_trade|dol_whd|ida_oh|oge_trade|osha,5,,Y,,,,Y,,Y,,,,,,Y,,Y,,,,
GENERAL MILLS,"General Mills, Inc.",capitol_trade|dol_whd|oge_trade|osha|water_epa,5,,,,,,Y,,Y,Y,,,,,Y,,Y,,,,
GOODRICH,Goodrich Corporation,ida_ny|ida_oh|osha|sam_gov|usaspending,5,Y,Y,,,,,,,,,,,,,,Y,,,Y,Y
GOODWILL INDUSTRIES OF KENTUCKY,GOODWILL INDUSTRIES OF KENTUCKY INC.,dol_whd|osha|sam_gov|usaspending|water_epa,5,,,,,,,,,Y,,,,,Y,,Y,,,Y,Y
GRADY MEMORIAL HOSPITAL,GRADY MEMORIAL HOSPITAL,dol_whd|hrsa_340b|ida_oh|nursing_home|usaspending,5,,Y,Y,,,,,,,,Y,,,Y,,,,,,Y
HENKEL,HENKEL CORPORATION,dol_whd|ida_oh|osha|usaspending|water_epa,5,,Y,,,,,,,Y,,,,,Y,,Y,,,,Y
HENRY SCHEIN,"Henry Schein, Inc.",capitol_trade|dol_whd|ida_ny|sam_gov|usaspending,5,Y,,,,,,,Y,,,,,,Y,,,,,Y,Y
HEXCEL,Hexcel Corp,capitol_trade|dol_whd|osha|usaspending|water_epa,5,,,,,,,,Y,Y,,,,,Y,,Y,,,,Y
HONEYWELL,HONEYWELL INC,dol_whd|msha|osha|usaspending|water_epa,5,,,,,,,,,Y,,,,,Y,,Y,Y,,,Y
ILLINOIS TOOL WORKS,"Illinois Tool Works, Inc.",capitol_trade|oge_trade|osha|sam_gov|usaspending,5,,,,,,Y,,Y,,,,,,,,Y,,,Y,Y
INTERNATIONAL BUSINESS MACHINES,International Business Machines,capitol_trade|ida_ny|ida_oh|oge_trade|usaspending,5,Y,Y,,,,Y,,Y,,,,,,,,,,,,Y
INTERNATIONAL PAPER,International Paper Co.,capitol_trade|dol_whd|oge_trade|osha|water_epa,5,,,,,,Y,,Y,Y,,,,,Y,,Y,,,,
IRON MOUNTAIN,"Iron Mountain, Inc.",capitol_trade|dol_whd|oge_trade|osha|sam_gov,5,,,,,,Y,,Y,,,,,,Y,,Y,,,Y,
JACKSON COUNTY,Jackson County,msha|opioid|osha|sam_gov|usaspending,5,,,,,,,,,,Y,,,,,,Y,Y,,Y,Y
JACOBS ENGINEERING GROUP,Jacobs Engineering Group Inc,capitol_trade|dol_whd|osha|sam_gov|usaspending,5,,,,,,,,Y,,,,,,Y,,Y,,,Y,Y
KALEIDA HEALTH,KALEIDA HEALTH,dol_whd|hrsa_340b|nursing_home|sam_gov|usaspending,5,,,Y,,,,,,,,Y,,,Y,,,,,Y,Y
KENNAMETAL,KENNAMETAL,dol_whd|ida_oh|osha|sam_gov|water_epa,5,,Y,,,,,,,Y,,,,,Y,,Y,,,Y,
KIMBERLY CLARK,Kimberly-Clark Corp.,capitol_trade|dol_whd|oge_trade|osha|water_epa,5,,,,,,Y,,Y,Y,,,,,Y,,Y,,,,
L3HARRIS TECHNOLOGIES,"L3Harris Technologies, Inc.",capitol_trade|oge_trade|sam_gov|usaspending|water_epa,5,,,,,,Y,,Y,Y,,,,,,,,,,Y,Y
LEHIGH UNIVERSITY,LEHIGH UNIVERSITY,dol_whd|nih_exporter|osha|sam_gov|usaspending,5,,,,,,,,,,,,,,Y,Y,Y,,,Y,Y
MASSACHUSETTS GENERAL HOSPITAL,MASSACHUSETTS GENERAL HOSPITAL,dol_whd|hrsa_340b|nih_exporter|osha|water_epa,5,,,,,,,,,Y,,Y,,,Y,Y,Y,,,,
MEDICAL UNIVERSITY OF SOUTH CAROLINA,MEDICAL UNIVERSITY OF SOUTH CAROLINA,dol_whd|nih_exporter|nursing_home|opioid|usaspending,5,,,Y,,,,,,,Y,,,,Y,Y,,,,,Y
MEDLINE INDUSTRIES,"Medline Industries, Inc.",dol_whd|ida_ny|ida_oh|sam_gov|usaspending,5,Y,Y,,,,,,,,,,,,Y,,,,,Y,Y
MEHARRY MEDICAL COLLEGE,MEHARRY MEDICAL COLLEGE,dol_whd|nih_exporter|osha|sam_gov|usaspending,5,,,,,,,,,,,,,,Y,Y,Y,,,Y,Y
MEMORIAL HOSPITAL,MEMORIAL HOSPITAL,dol_whd|hrsa_340b|sam_gov|usaspending|water_epa,5,,,,,,,,,Y,,Y,,,Y,,,,,Y,Y
MEMORIAL MEDICAL CENTER,MEMORIAL MEDICAL CENTER,dol_whd|hrsa_340b|nursing_home|sam_gov|water_epa,5,,,Y,,,,,,Y,,Y,,,Y,,,,,Y,
NEW YORK CITY HEALTH AND HOSPITALS,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,capitol_trade|hrsa_340b|nursing_home|sam_gov|usaspending,5,,,Y,,,,,Y,,,Y,,,,,,,,Y,Y
NORTH DAKOTA STATE UNIVERSITY,NORTH DAKOTA STATE UNIVERSITY,capitol_trade|dol_whd|nih_exporter|sam_gov|usaspending,5,,,,,,,,Y,,,,,,Y,Y,,,,Y,Y
OWENS CORNING,OWENS CORNING,capitol_trade|dol_whd|ida_oh|osha|water_epa,5,,Y,,,,,,Y,Y,,,,,Y,,Y,,,,
PEPSICO,"Pepsico, Inc.",capitol_trade|dol_whd|ida_ny|oge_trade|osha,5,Y,,,,,Y,,Y,,,,,,Y,,Y,,,,
PFIZER,Pfizer Inc,capitol_trade|dol_whd|oge_trade|osha|usaspending,5,,,,,,Y,,Y,,,,,,Y,,Y,,,,Y
PIONEER,PIONEER,dol_whd|msha|osha|sam_gov|usaspending,5,,,,,,,,,,,,,,Y,,Y,Y,,Y,Y
PITNEY BOWES,"""Pitney Bowes, Inc.""",dol_whd|ida_ny|osha|sam_gov|usaspending,5,Y,,,,,,,,,,,,,Y,,Y,,,Y,Y
PRAXAIR,"""Praxair, Inc.  """,dol_whd|ida_ny|ida_oh|osha|water_epa,5,Y,Y,,,,,,,Y,,,,,Y,,Y,,,,
PURDUE UNIVERSITY,Purdue University,dol_whd|hrsa_340b|nih_exporter|osha|usaspending,5,,,,,,,,,,,Y,,,Y,Y,Y,,,,Y
QUEST DIAGNOSTICS,Quest Diagnostics Inc,capitol_trade|dol_whd|osha|usaspending|water_epa,5,,,,,,,,Y,Y,,,,,Y,,Y,,,,Y
RUSH UNIVERSITY MEDICAL CENTER,RUSH UNIVERSITY MEDICAL CENTER,dol_whd|hrsa_340b|nih_exporter|sam_gov|usaspending,5,,,,,,,,,,,Y,,,Y,Y,,,,Y,Y
SALVATION ARMY,SALVATION ARMY,dol_whd|ida_oh|osha|sam_gov|usaspending,5,,Y,,,,,,,,,,,,Y,,Y,,,Y,Y
SCIENCE APPLICATIONS INTERNATIONAL,SCIENCE APPLICATIONS INTERNATIONAL,capitol_trade|dol_whd|ida_oh|sam_gov|usaspending,5,,Y,,,,,,Y,,,,,,Y,,,,,Y,Y
SEA,SEA,capitol_trade|dol_whd|ida_oh|oge_trade|usaspending,5,,Y,,,,Y,,Y,,,,,,Y,,,,,,Y
SENECA FOODS,Seneca Foods Corp.,dol_whd|ida_ny|osha|usaspending|water_epa,5,Y,,,,,,,,Y,,,,,Y,,Y,,,,Y
SINGING RIVER HEALTH SYSTEM,SINGING RIVER HEALTH SYSTEM,dol_whd|hrsa_340b|nursing_home|sam_gov|usaspending,5,,,Y,,,,,,,,Y,,,Y,,,,,Y,Y
SMITH NEPHEW,Smith & Nephew PLC,capitol_trade|dol_whd|sam_gov|usaspending|water_epa,5,,,,,,,,Y,Y,,,,,Y,,,,,Y,Y
SRI INTERNATIONAL,SRI INTERNATIONAL,dol_whd|nih_exporter|sam_gov|usaspending|water_epa,5,,,,,,,,,Y,,,,,Y,Y,,,,Y,Y
ST FRANCIS HOSPITAL,ST FRANCIS HOSPITAL,dol_whd|faith_hospital|hrsa_340b|osha|sam_gov,5,,,,,Y,,,,,,Y,,,Y,,Y,,,Y,
ST MARY S HOSPITAL,ST. MARY'S HOSPITAL,dol_whd|faith_hospital|hrsa_340b|osha|sam_gov,5,,,,,Y,,,,,,Y,,,Y,,Y,,,Y,
ST MARY S MEDICAL CENTER,"ST. MARY'S MEDICAL CENTER, INC",dol_whd|faith_hospital|hrsa_340b|nursing_home|sam_gov,5,,,Y,,Y,,,,,,Y,,,Y,,,,,Y,
ST VINCENT HOSPITAL,ST VINCENT HOSPITAL,dol_whd|faith_hospital|hrsa_340b|nih_exporter|osha,5,,,,,Y,,,,,,Y,,,Y,Y,Y,,,,
STATE OF COLORADO,STATE OF COLORADO,capitol_trade|dol_whd|msha|nursing_home|opioid,5,,,Y,,,,,Y,,Y,,,,Y,,,Y,,,
STATE OF NEW MEXICO,STATE OF NEW MEXICO,capitol_trade|msha|nursing_home|sam_gov|usaspending,5,,,Y,,,,,Y,,,,,,,,,Y,,Y,Y
STERIS,STERIS CORPORATION,capitol_trade|dol_whd|ida_oh|oge_trade|usaspending,5,,Y,,,,Y,,Y,,,,,,Y,,,,,,Y
SUNBELT RENTALS,SUNBELT RENTALS,dol_whd|osha|sam_gov|usaspending|water_epa,5,,,,,,,,,Y,,,,,Y,,Y,,,Y,Y
SYRACUSE UNIVERSITY,Syracuse University,ida_ny|nih_exporter|osha|sam_gov|usaspending,5,Y,,,,,,,,,,,,,,Y,Y,,,Y,Y
TESLA,"Tesla, Inc.",capitol_trade|cfpb|dol_whd|oge_trade|water_epa,5,,,,,,Y,,Y,Y,,,,,Y,,,,Y,,
TETRA TECH,TETRA TECH,dol_whd|msha|osha|sam_gov|usaspending,5,,,,,,,,,,,,,,Y,,Y,Y,,Y,Y
THERMO FISHER SCIENTIFIC,THERMO FISHER SCIENTIFIC,capitol_trade|dol_whd|ida_oh|oge_trade|water_epa,5,,Y,,,,Y,,Y,Y,,,,,Y,,,,,,
U S BANCORP,U.S. Bancorp,capitol_trade|cfpb|oge_trade|osha|usaspending,5,,,,,,Y,,Y,,,,,,,,Y,,Y,,Y
UNIFIRST,UNIFIRST CORP,dol_whd|osha|sam_gov|usaspending|water_epa,5,,,,,,,,,Y,,,,,Y,,Y,,,Y,Y
UNITED STATES POSTAL SERVICE,UNITED STATES POSTAL SERVICE,dol_whd|osha|sam_gov|usaspending|water_epa,5,,,,,,,,,Y,,,,,Y,,Y,,,Y,Y
UNIVERSITY OF SOUTH CAROLINA,UNIVERSITY OF SOUTH CAROLINA,dol_whd|nih_exporter|osha|sam_gov|usaspending,5,,,,,,,,,,,,,,Y,Y,Y,,,Y,Y
UNIVERSITY OF UTAH,UNIVERSITY OF UTAH,dol_whd|nih_exporter|sam_gov|usaspending|water_epa,5,,,,,,,,,Y,,,,,Y,Y,,,,Y,Y
UNIVERSITY OF WASHINGTON,UNIVERSITY OF WASHINGTON,capitol_trade|nih_exporter|osha|sam_gov|usaspending,5,,,,,,,,Y,,,,,,,Y,Y,,,Y,Y
UPS SUPPLY CHAIN SOLUTIONS,UPS SUPPLY CHAIN SOLUTIONS,dol_whd|ida_oh|osha|sam_gov|usaspending,5,,Y,,,,,,,,,,,,Y,,Y,,,Y,Y
WALMART,"Walmart, Inc.",capitol_trade|dol_whd|oge_trade|opioid_vendor|osha,5,,,,,,Y,,Y,,,,Y,,Y,,Y,,,,
