facility_name,opcert,ccn,city,is_religious,match_type,confidence,parent_system,denomination,is_sole_county,total_discharges,ob_discharges,csection_count,PGN008_count,FRS005_count,FRS003_count,FRS001_count,PGN008_rate_per1k,FRS005_rate_per1k,FRS003_rate_per1k,FRS001_rate_per1k
Gouverneur Hospital,4423701,,,False,,,,,,971,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Guthrie Cortland Medical Center,1101000,,,False,,,,,,8075,627,141,0,2,0,4,0.0,3.19,0.0,0.5
Harlem Hospital Center,7002009,,,False,,,,,,20709,1572,430,0,4,9,20,0.0,2.54,5.73,0.97
HealthAlliance Hospital Broadway Campus,5501000,,,False,,,,,,9431,262,72,0,0,1,2,0.0,0.0,3.82,0.21
HealthAlliance Hospital Broadway Campus,5501001,,,False,,,,,,2782,102,32,0,0,0,1,0.0,0.0,0.0,0.36
Helen Hayes Hospital,4322000,,,False,,,,,,2904,2,0,0,0,0,0,0.0,0.0,0.0,0.0
Henry J. Carter Specialty Hospital,7002050,,,False,,,,,,915,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Highland Hospital,2701001,,,False,,,,,,34707,5407,1461,0,3,28,222,0.0,0.55,5.18,6.4
Hospital for Special Surgery,7002012,,,False,,,,,,20334,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Huntington Hospital,5153000,,,False,,,,,,41442,4542,1539,0,7,22,105,0.0,1.54,4.84,2.53
Interfaith Medical Center,7001046,,,False,,,,,,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Ira Davenport Memorial Hospital,5022000,,,False,,,,,,331,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jacobi Medical Center,7000002,,,False,,,,,,50307,5732,1673,0,21,17,71,0.0,3.66,2.97,1.41
Jamaica Hospital Medical Center,7003003,,,False,,,,,,32847,3621,1210,0,3,11,74,0.0,0.83,3.04,2.25
John T Mather Memorial Hospital of Port Jefferson New York Inc,5149000,,,False,,,,,,19026,7,0,0,0,2,6,0.0,0.0,285.71,0.32
