recipient_id,recipient_name,state,recipient_type,allocation_amount,vendor_rows,vendor_count,spend_total,spend_coverage_ratio,largest_vendor_share,direct_service_spend,review_worthy_spend,vendor_watch_spend,consulting_spend,administrative_spend,legal_pr_spend,capital_spend,opaque_spend,dominant_category_bucket,source_flags
NC-COUNTY-EDGECOMBECOUNTY,Edgecombe County,NC,county,1497899.02,9,6,749377.91,0.5003,0.5286,349119.85,396158.53,0.00,0.00,0.00,0.00,0.00,396158.53,direct_service,ALLOCATIONS|SPENDING
NC-COUNTY-IREDELLCOUNTY,Iredell County,NC,county,7598745.55,12,3,1286156.82,0.1693,0.4587,903395.98,382760.84,0.00,0.00,0.00,0.00,0.00,382760.84,direct_service,ALLOCATIONS|SPENDING
NC-COUNTY-STANLYCOUNTY,Stanly County,NC,county,2603531.76,17,13,1105362.57,0.4246,0.2911,747680.62,357681.95,0.00,321806.26,0.00,0.00,0.00,35875.69,direct_service,ALLOCATIONS|SPENDING
CO-REGION6-BOULDER,REGION 6- BOULDER,CO,municipality,98246.50,53,20,7792081.39,79.3115,0.5819,2900842.82,356736.57,90337.95,21277.85,241803.72,0.00,93655.00,0.00,direct_service,ALLOCATIONS|SPENDING
NC-COUNTY-COLUMBUSCOUNTY,Columbus County,NC,county,4384636.11,11,7,868957.66,0.1982,0.4044,191719.64,351426.03,25415.50,351426.03,0.00,0.00,0.00,0.00,direct_service,ALLOCATIONS|SPENDING
CO-DENVER,DENVER,CO,municipality,986.59,8,4,772973.29,783.4798,0.5594,437598.92,335374.37,0.00,0.00,335374.37,0.00,0.00,0.00,direct_service,ALLOCATIONS|SPENDING
WV-WETZELCOUNTYCOMMISSION,Wetzel County Commission,WV,county,445956.60,1,1,332921.83,0.7465,1.0000,0.00,332921.83,332921.83,0.00,332921.83,0.00,0.00,0.00,administration,ALLOCATIONS|SPENDING
NC-COUNTY-BRUNSWICKCOUNTY,Brunswick County,NC,county,7589074.91,7,4,772961.88,0.1019,0.4256,443989.71,328972.17,0.00,328972.17,0.00,0.00,0.00,0.00,direct_service,ALLOCATIONS|SPENDING
NC-COUNTY-RICHMONDCOUNTY,Richmond County,NC,county,2690290.38,8,6,649332.81,0.2414,0.4379,300047.88,293209.88,0.00,284317.11,0.00,0.00,0.00,8892.77,direct_service,ALLOCATIONS|SPENDING
VA-GRAYSONWYTHECITYCOUNTYPARTNERSHIPBOLDINDICATESFISCALAGENTSMYTHCOUNTYDICKENSONLEE,"Grayson, Wythe, Smyth County, Dickenson, Lee",VA,county,275040.00,1,1,275040.00,1.0000,1.0000,0.00,275040.00,275040.00,0.00,0.00,275040.00,0.00,0.00,legal_pr,ALLOCATIONS|SPENDING
NC-COUNTY-WATAUGACOUNTY,Watauga County,NC,county,1686702.56,4,3,1058434.00,0.6275,0.7035,784588.00,273846.00,0.00,273846.00,0.00,0.00,0.00,0.00,direct_service,ALLOCATIONS|SPENDING
NC-COUNTY-HENDERSONCOUNTY,Henderson County,NC,county,4961592.64,19,7,708813.43,0.1429,0.7953,447749.45,261063.98,0.00,0.00,0.00,0.00,261063.98,0.00,direct_service,ALLOCATIONS|SPENDING
NC-COUNTY-CLEVELANDCOUNTY,Cleveland County,NC,county,4021892.30,4,2,366555.49,0.0911,0.7069,107421.43,259134.06,0.00,259134.06,0.00,0.00,0.00,0.00,consulting,ALLOCATIONS|SPENDING
NC-COUNTY-YADKINCOUNTY,Yadkin County,NC,county,2018786.21,5,1,335508.25,0.1662,1.0000,82053.51,253454.74,0.00,253454.74,0.00,0.00,0.00,0.00,consulting,ALLOCATIONS|SPENDING
NC-COUNTY-ALAMANCECOUNTY,Alamance County,NC,county,4948785.97,3,3,923110.90,0.1865,0.4480,669796.43,253314.47,0.00,253314.47,0.00,0.00,0.00,0.00,direct_service,ALLOCATIONS|SPENDING
NC-COUNTY-SURRYCOUNTY,Surry County,NC,county,5066569.40,10,3,761815.14,0.1504,0.6190,509919.89,251895.25,0.00,0.00,0.00,0.00,0.00,251895.25,direct_service,ALLOCATIONS|SPENDING
IN-CITYOFKOKOMO,City of Kokomo,IN,municipality,365108.79,2,1,265000.00,0.7258,1.0000,15000.00,250000.00,0.00,0.00,0.00,0.00,250000.00,0.00,capital,ALLOCATIONS|SPENDING
MN-RAMSEYCOUNTY,Ramsey County,MN,county,2829338.00,27,1,2829338.00,1.0000,1.0000,2584559.00,244779.00,0.00,9188.00,235591.00,0.00,0.00,0.00,direct_service,ALLOCATIONS|SPENDING
WV-CITYOFSUMMERSVILLE,City of Summersville,WV,municipality,486337.42,1,1,241382.47,0.4963,1.0000,0.00,241382.47,0.00,0.00,241382.47,0.00,0.00,0.00,administration,ALLOCATIONS|SPENDING
IN-FLOYDCOUNTY,Floyd County,IN,county,2344504.84,29,13,738560.00,0.3150,0.3595,287351.00,239102.00,0.00,0.00,0.00,0.00,228584.00,10518.00,capital,ALLOCATIONS|SPENDING
