state_code,county_fips,total_apps,originations,denials,denial_rate,denial_rate_white,denial_rate_black,denial_rate_hispanic,disparity_ratio_black,disparity_ratio_hispanic,white_apps,black_apps,hispanic_apps
WV,54069,462,397.0,65.0,0.1407,0.1405,0.3333,0.3333,2.37,2.37,370.0,15.0,3.0
MO,29189,14822,13276.0,1546.0,0.1043,0.0827,0.196,0.1237,2.37,1.5,8550.0,2265.0,493.0
VA,51710,3600,3179.0,421.0,0.1169,0.0823,0.1948,0.1588,2.37,1.93,1799.0,652.0,340.0
LA,22029,217,112.0,105.0,0.4839,0.3182,0.7528,0.0,2.37,0.0,110.0,89.0,3.0
LA,22075,265,183.0,82.0,0.3094,0.194,0.46,0.2273,2.37,1.17,134.0,50.0,22.0
IL,17093,2524,2244.0,280.0,0.1109,0.0921,0.2188,0.1336,2.37,1.45,1563.0,256.0,479.0
GA,13109,99,76.0,23.0,0.2323,0.1692,0.4,0.6667,2.36,3.94,65.0,15.0,6.0
MS,28085,500,330.0,170.0,0.34,0.2568,0.605,0.6667,2.36,2.6,331.0,119.0,3.0
MI,26081,10666,8914.0,1752.0,0.1643,0.1444,0.3412,0.3107,2.36,2.15,7311.0,507.0,795.0
GA,13051,4963,4292.0,671.0,0.1352,0.1021,0.2406,0.2061,2.36,2.02,2712.0,798.0,296.0
VA,51065,529,447.0,82.0,0.155,0.1236,0.2917,0.2632,2.36,2.13,356.0,48.0,19.0
IA,19153,9068,8222.0,846.0,0.0933,0.0817,0.1932,0.1357,2.36,1.66,6533.0,440.0,921.0
NY,36055,9506,8442.0,1064.0,0.1119,0.0916,0.2155,0.1781,2.35,1.94,6586.0,863.0,629.0
IN,18053,800,667.0,133.0,0.1663,0.1486,0.3488,0.1786,2.35,1.2,666.0,43.0,28.0
LA,22031,584,340.0,244.0,0.4178,0.3092,0.7256,0.5455,2.35,1.76,359.0,164.0,11.0
AR,05041,71,50.0,21.0,0.2958,0.1667,0.3913,0.3333,2.35,2.0,30.0,23.0,3.0
TN,47103,562,466.0,96.0,0.1708,0.1636,0.3846,0.2414,2.35,1.48,483.0,13.0,29.0
OH,39115,175,151.0,24.0,0.1371,0.1418,0.3333,0.0,2.35,0.0,141.0,12.0,1.0
MA,25017,16958,14960.0,1998.0,0.1178,0.1125,0.2643,0.1808,2.35,1.61,9322.0,575.0,1001.0
NC,37127,1741,1321.0,420.0,0.2412,0.1504,0.3529,0.2342,2.35,1.56,778.0,561.0,158.0
OK,40083,1153,862.0,291.0,0.2524,0.2348,0.5517,0.5062,2.35,2.16,805.0,58.0,81.0
IL,17075,263,222.0,41.0,0.1559,0.1416,0.3333,0.1429,2.35,1.01,226.0,3.0,21.0
TX,48145,228,136.0,92.0,0.4035,0.3234,0.76,0.5714,2.35,1.77,167.0,25.0,35.0
NC,37061,609,376.0,233.0,0.3826,0.2806,0.6579,0.5469,2.34,1.95,392.0,114.0,64.0
TN,47053,924,757.0,167.0,0.1807,0.1617,0.3778,0.3182,2.34,1.97,711.0,90.0,22.0
IN,18003,6404,5558.0,846.0,0.1321,0.1086,0.2544,0.144,2.34,1.33,4578.0,397.0,368.0
MN,27035,1067,983.0,84.0,0.0787,0.0715,0.1667,0.375,2.33,5.24,895.0,6.0,8.0
TX,48331,395,254.0,141.0,0.357,0.3432,0.8,0.4655,2.33,1.36,303.0,30.0,58.0
TX,48323,485,395.0,90.0,0.1856,0.1716,0.4,0.1847,2.33,1.08,408.0,5.0,417.0
IL,17095,733,639.0,94.0,0.1282,0.1182,0.275,0.2381,2.33,2.01,609.0,40.0,21.0
NE,31153,3650,3361.0,289.0,0.0792,0.0732,0.1702,0.1327,2.33,1.81,2693.0,141.0,294.0
GA,13221,235,189.0,46.0,0.1957,0.1792,0.4167,0.2667,2.33,1.49,173.0,12.0,15.0
NY,36067,5313,4597.0,716.0,0.1348,0.114,0.2658,0.1503,2.33,1.32,3771.0,365.0,193.0
TN,47039,181,141.0,40.0,0.221,0.2147,0.5,0.3333,2.33,1.55,163.0,6.0,3.0
KY,21215,354,303.0,51.0,0.1441,0.1433,0.3333,0.0,2.33,0.0,307.0,3.0,2.0
ME,23009,734,622.0,112.0,0.1526,0.1438,0.3333,0.3333,2.32,2.32,584.0,6.0,9.0
CA,06025,1071,906.0,165.0,0.1541,0.1324,0.3077,0.1609,2.32,1.21,808.0,13.0,808.0
GA,13031,1091,856.0,235.0,0.2154,0.1812,0.4211,0.2727,2.32,1.51,723.0,152.0,33.0
PR,72035,169,134.0,35.0,0.2071,0.1921,0.4444,0.2073,2.31,1.08,151.0,9.0,164.0
LA,22059,322,226.0,96.0,0.2981,0.2829,0.6538,0.0,2.31,0.0,258.0,26.0,3.0
FL,12013,162,87.0,75.0,0.463,0.4338,1.0,0.6,2.31,1.38,136.0,1.0,10.0
TX,48149,316,205.0,111.0,0.3513,0.3025,0.7,0.4792,2.31,1.58,238.0,20.0,48.0
SC,45031,985,600.0,385.0,0.3909,0.2495,0.5771,0.25,2.31,1.0,469.0,376.0,32.0
IA,19163,2879,2652.0,227.0,0.0788,0.0687,0.1589,0.1603,2.31,2.33,2082.0,107.0,131.0
TX,48335,76,42.0,34.0,0.4474,0.4333,1.0,0.25,2.31,0.58,60.0,2.0,12.0
VA,51125,322,268.0,54.0,0.1677,0.1605,0.3684,0.2727,2.3,1.7,243.0,19.0,11.0
CA,06033,844,685.0,159.0,0.1884,0.1628,0.375,0.2055,2.3,1.26,516.0,32.0,146.0
MO,29225,652,560.0,92.0,0.1411,0.1451,0.3333,0.2727,2.3,1.88,565.0,3.0,11.0
OK,40089,634,432.0,202.0,0.3186,0.2854,0.6571,0.375,2.3,1.31,410.0,35.0,24.0
GA,13255,1270,1052.0,218.0,0.1717,0.1078,0.2482,0.1829,2.3,1.7,566.0,411.0,82.0
GA,13087,360,207.0,153.0,0.425,0.2944,0.6777,0.2143,2.3,0.73,197.0,121.0,14.0
WI,55089,1417,1301.0,116.0,0.0819,0.0725,0.1667,0.1111,2.3,1.53,1131.0,18.0,27.0
LA,22111,396,220.0,176.0,0.4444,0.3441,0.7905,0.3,2.3,0.87,247.0,105.0,10.0
TX,48379,244,160.0,84.0,0.3443,0.2912,0.6667,0.5385,2.29,1.85,182.0,15.0,39.0
ID,16001,8206,7473.0,733.0,0.0893,0.0833,0.1912,0.1687,2.29,2.02,5927.0,68.0,409.0
AK,02170,1846,1701.0,145.0,0.0785,0.0727,0.1667,0.1,2.29,1.38,1321.0,18.0,70.0
IL,17029,551,451.0,100.0,0.1815,0.1681,0.3846,0.2727,2.29,1.62,464.0,13.0,22.0
MS,28091,487,308.0,179.0,0.3676,0.2574,0.5899,0.6,2.29,2.33,303.0,139.0,10.0
TX,48401,877,580.0,297.0,0.3387,0.2747,0.6293,0.3953,2.29,1.44,597.0,116.0,129.0
VA,51141,222,160.0,62.0,0.2793,0.2912,0.6667,0.6,2.29,2.06,182.0,6.0,5.0
MI,26045,1595,1285.0,310.0,0.1944,0.1657,0.3797,0.2364,2.29,1.43,1261.0,79.0,55.0
GA,13297,2084,1798.0,286.0,0.1372,0.0889,0.2034,0.1724,2.29,1.94,1102.0,408.0,203.0
VA,51810,6363,5704.0,659.0,0.1036,0.082,0.1875,0.0953,2.29,1.16,3770.0,656.0,430.0
KY,21219,160,132.0,28.0,0.175,0.161,0.3684,0.1818,2.29,1.13,118.0,19.0,11.0
NY,36065,2389,1981.0,408.0,0.1708,0.1594,0.3649,0.2992,2.29,1.88,1832.0,74.0,127.0
GA,13285,968,804.0,164.0,0.1694,0.121,0.2765,0.186,2.29,1.54,587.0,170.0,43.0
FL,12039,616,338.0,278.0,0.4513,0.2794,0.6376,0.4286,2.28,1.53,204.0,298.0,42.0
TN,47069,302,214.0,88.0,0.2914,0.1943,0.4433,0.6,2.28,3.09,175.0,97.0,5.0
IA,19103,2946,2789.0,157.0,0.0533,0.0481,0.1096,0.1447,2.28,3.01,2058.0,146.0,152.0
WV,54043,183,102.0,81.0,0.4426,0.4379,1.0,,2.28,,169.0,1.0,0.0
MT,30111,2601,2309.0,292.0,0.1123,0.1095,0.25,0.1358,2.28,1.24,2137.0,8.0,81.0
FL,12125,187,112.0,75.0,0.4011,0.3557,0.8095,0.4286,2.28,1.2,149.0,21.0,7.0
IL,17043,11077,9967.0,1110.0,0.1002,0.0882,0.2007,0.1512,2.28,1.72,7067.0,274.0,1263.0
OH,39151,5196,4526.0,670.0,0.1289,0.1126,0.2563,0.1429,2.28,1.27,4139.0,238.0,98.0
FL,12131,3537,2835.0,702.0,0.1985,0.1884,0.4286,0.396,2.28,2.1,2548.0,98.0,202.0
SC,45061,214,98.0,116.0,0.5421,0.3333,0.7573,0.3333,2.27,1.0,81.0,103.0,9.0
NC,37133,5068,4395.0,673.0,0.1328,0.1136,0.2581,0.119,2.27,1.05,3425.0,430.0,504.0
MO,29027,665,568.0,97.0,0.1459,0.1465,0.3333,0.0909,2.27,0.62,505.0,15.0,11.0
OK,40109,12181,10630.0,1551.0,0.1273,0.1205,0.2733,0.1939,2.27,1.61,6455.0,860.0,1387.0
NY,36021,644,526.0,118.0,0.1832,0.161,0.3636,0.1818,2.26,1.13,472.0,22.0,22.0
MO,29163,198,154.0,44.0,0.2222,0.2216,0.5,0.75,2.26,3.39,167.0,2.0,4.0
MN,27095,452,388.0,64.0,0.1416,0.1476,0.3333,0.0,2.26,0.0,393.0,3.0,5.0
GA,13277,510,350.0,160.0,0.3137,0.2561,0.5795,0.3684,2.26,1.44,289.0,88.0,19.0
MS,28161,160,110.0,50.0,0.3125,0.2299,0.5185,0.0,2.26,0.0,87.0,54.0,2.0
IA,19045,492,432.0,60.0,0.122,0.1262,0.2857,0.2857,2.26,2.26,404.0,7.0,14.0
AL,01107,270,167.0,103.0,0.3815,0.2446,0.5534,,2.26,,139.0,103.0,0.0
AR,05043,189,123.0,66.0,0.3492,0.3053,0.6875,0.25,2.25,0.82,131.0,32.0,4.0
MT,30013,1263,1136.0,127.0,0.1006,0.0937,0.2105,0.1887,2.25,2.01,1046.0,19.0,53.0
LA,22043,395,243.0,152.0,0.3848,0.3378,0.7593,0.0,2.25,0.0,296.0,54.0,2.0
NC,37101,5595,4881.0,714.0,0.1276,0.1025,0.2306,0.162,2.25,1.58,3387.0,876.0,722.0
WV,54077,367,280.0,87.0,0.2371,0.2219,0.5,0.25,2.25,1.13,302.0,4.0,4.0
ID,16083,1454,1283.0,171.0,0.1176,0.111,0.25,0.1422,2.25,1.28,1189.0,12.0,204.0
KS,20099,215,179.0,36.0,0.1674,0.1491,0.3333,0.2222,2.24,1.49,161.0,6.0,9.0
OH,39061,11230,9903.0,1327.0,0.1182,0.0926,0.2072,0.1527,2.24,1.65,7195.0,1573.0,393.0
VA,51185,421,311.0,110.0,0.2613,0.2546,0.5714,1.0,2.24,3.93,377.0,7.0,1.0
CO,08049,767,613.0,154.0,0.2008,0.1784,0.4,0.5735,2.24,3.22,555.0,5.0,68.0
CO,08039,693,609.0,84.0,0.1212,0.1117,0.25,0.1224,2.24,1.1,537.0,12.0,49.0
NY,36063,2524,2127.0,397.0,0.1573,0.1354,0.303,0.2692,2.24,1.99,1920.0,165.0,78.0
VA,51043,212,187.0,25.0,0.1179,0.1274,0.2857,0.1739,2.24,1.37,157.0,7.0,23.0
KY,21231,250,169.0,81.0,0.324,0.2995,0.6667,0.5714,2.23,1.91,217.0,6.0,7.0
MS,28035,1223,914.0,309.0,0.2527,0.221,0.4934,0.4118,2.23,1.86,751.0,227.0,34.0
NC,37077,901,721.0,180.0,0.1998,0.1563,0.3478,0.22,2.23,1.41,563.0,161.0,100.0
GA,13029,1243,1077.0,166.0,0.1335,0.1231,0.2745,0.1011,2.23,0.82,804.0,102.0,89.0
PR,72075,128,113.0,15.0,0.1172,0.1121,0.25,0.1129,2.23,1.01,116.0,4.0,124.0
LA,22053,449,340.0,109.0,0.2428,0.2099,0.4688,0.5,2.23,2.38,324.0,64.0,4.0
MO,29169,838,751.0,87.0,0.1038,0.0952,0.2128,0.0625,2.23,0.66,609.0,47.0,48.0
GA,13121,16946,14056.0,2890.0,0.1705,0.1044,0.2322,0.1566,2.23,1.5,5922.0,5336.0,843.0
OK,40023,136,68.0,68.0,0.5,0.4505,1.0,0.5,2.22,1.11,91.0,6.0,4.0
NC,37149,355,278.0,77.0,0.2169,0.1931,0.4286,0.4,2.22,2.07,290.0,7.0,20.0
CO,08069,6061,5312.0,749.0,0.1236,0.1202,0.2667,0.3368,2.22,2.8,4619.0,30.0,475.0
VA,51161,1404,1269.0,135.0,0.0962,0.096,0.2133,0.1667,2.22,1.74,990.0,75.0,60.0
MD,24037,1656,1469.0,187.0,0.1129,0.0821,0.1822,0.0879,2.22,1.07,999.0,269.0,91.0
OR,41051,9309,8335.0,974.0,0.1046,0.0885,0.1968,0.1685,2.22,1.9,5920.0,437.0,724.0
TN,47017,427,334.0,93.0,0.2178,0.205,0.4545,0.2857,2.22,1.39,361.0,22.0,7.0
NH,33015,4354,3781.0,573.0,0.1316,0.1334,0.2963,0.2276,2.22,1.71,3537.0,27.0,123.0
SC,45073,1375,1092.0,283.0,0.2058,0.1896,0.42,0.3659,2.22,1.93,1113.0,50.0,41.0
IN,18007,152,128.0,24.0,0.1579,0.1504,0.3333,0.2222,2.22,1.48,133.0,3.0,9.0
GA,13131,362,164.0,198.0,0.547,0.3819,0.8468,0.2941,2.22,0.77,199.0,124.0,17.0
VT,50027,773,651.0,122.0,0.1578,0.1692,0.375,0.1111,2.22,0.66,597.0,8.0,9.0
LA,22095,630,413.0,217.0,0.3444,0.1943,0.4307,0.2903,2.22,1.49,175.0,339.0,62.0
MS,28097,102,60.0,42.0,0.4118,0.3051,0.6765,,2.22,,59.0,34.0,0.0
MO,29043,1862,1705.0,157.0,0.0843,0.0818,0.1818,0.1364,2.22,1.67,1504.0,11.0,44.0
WV,54089,119,82.0,37.0,0.3109,0.301,0.6667,0.0,2.22,0.0,103.0,3.0,1.0
MS,28057,294,218.0,76.0,0.2585,0.2,0.4444,0.3333,2.22,1.67,235.0,18.0,3.0
IN,18059,1868,1676.0,192.0,0.1028,0.0764,0.1692,0.2679,2.22,3.51,1401.0,130.0,56.0
KS,20191,360,300.0,60.0,0.1667,0.151,0.3333,0.1818,2.21,1.2,298.0,3.0,11.0
NM,35039,296,200.0,96.0,0.3243,0.2266,0.5,0.2994,2.21,1.32,203.0,2.0,157.0
MD,24510,8558,7219.0,1339.0,0.1565,0.0912,0.2014,0.1583,2.21,1.74,2556.0,3009.0,575.0
FL,12059,271,176.0,95.0,0.3506,0.3226,0.7143,0.4286,2.21,1.33,217.0,7.0,14.0
VA,51510,2103,1947.0,156.0,0.0742,0.0616,0.1364,0.1056,2.21,1.71,1234.0,198.0,161.0
TX,48499,967,691.0,276.0,0.2854,0.2656,0.5862,0.4,2.21,1.51,787.0,29.0,75.0
GA,13017,159,120.0,39.0,0.2453,0.2021,0.4474,0.1111,2.21,0.55,94.0,38.0,9.0
NH,33005,815,680.0,135.0,0.1656,0.1649,0.3636,0.2857,2.21,1.73,643.0,11.0,14.0
IL,17143,2739,2495.0,244.0,0.0891,0.0779,0.1715,0.1583,2.2,2.03,1759.0,239.0,139.0
KY,21141,440,363.0,77.0,0.175,0.1513,0.3333,0.5,2.2,3.31,357.0,24.0,8.0
NC,37053,959,802.0,157.0,0.1637,0.1487,0.3276,0.2619,2.2,1.76,706.0,58.0,42.0
MS,28009,116,69.0,47.0,0.4052,0.2985,0.6563,1.0,2.2,3.35,67.0,32.0,3.0
TX,48289,316,181.0,135.0,0.4272,0.3856,0.85,0.52,2.2,1.35,236.0,20.0,25.0
TX,48089,279,176.0,103.0,0.3692,0.3026,0.6667,0.5,2.2,1.65,195.0,27.0,72.0
LA,22051,3988,3336.0,652.0,0.1635,0.1282,0.2824,0.1911,2.2,1.49,2122.0,655.0,492.0
VA,51775,339,296.0,43.0,0.1268,0.122,0.2667,0.2,2.19,1.64,246.0,15.0,10.0
TX,48103,115,57.0,58.0,0.5043,0.4557,1.0,0.5244,2.19,1.15,79.0,2.0,82.0
GA,13027,233,155.0,78.0,0.3348,0.2552,0.5581,0.3846,2.19,1.51,145.0,43.0,13.0
GA,13127,1528,1309.0,219.0,0.1433,0.1276,0.2791,0.2537,2.19,1.99,1003.0,129.0,67.0
TN,47075,216,164.0,52.0,0.2407,0.1545,0.3387,0.0769,2.19,0.5,110.0,62.0,13.0
GA,13173,242,189.0,53.0,0.219,0.1796,0.3939,0.2,2.19,1.11,167.0,33.0,15.0
GA,13117,4659,4037.0,622.0,0.1335,0.1205,0.2636,0.1198,2.19,0.99,1826.0,110.0,242.0
TN,47183,377,297.0,80.0,0.2122,0.1961,0.4286,0.1667,2.19,0.85,311.0,21.0,6.0
PA,42099,639,521.0,118.0,0.1847,0.1828,0.4,0.2,2.19,1.09,547.0,5.0,5.0
TX,48259,914,802.0,112.0,0.1225,0.1139,0.25,0.2049,2.19,1.8,667.0,16.0,122.0
GA,13229,348,260.0,88.0,0.2529,0.2283,0.5,0.5,2.19,2.19,276.0,22.0,12.0
TX,48185,753,476.0,277.0,0.3679,0.321,0.6984,0.4577,2.18,1.43,514.0,63.0,142.0
LA,22001,819,554.0,265.0,0.3236,0.2753,0.6,0.2308,2.18,0.84,534.0,140.0,13.0
OH,39069,296,257.0,39.0,0.1318,0.1146,0.25,0.25,2.18,2.18,253.0,4.0,12.0
MN,27123,6667,6041.0,626.0,0.0939,0.0763,0.1667,0.2013,2.18,2.64,4009.0,420.0,472.0
SC,45067,451,236.0,215.0,0.4767,0.3333,0.7273,0.4444,2.18,1.33,207.0,165.0,9.0
OH,39165,3812,3390.0,422.0,0.1107,0.1025,0.2233,0.2685,2.18,2.62,2789.0,103.0,108.0
NC,37139,863,643.0,220.0,0.2549,0.1867,0.4076,0.2,2.18,1.07,466.0,238.0,35.0
AR,05073,95,42.0,53.0,0.5579,0.3818,0.8333,0.0,2.18,0.0,55.0,30.0,1.0
TX,48287,310,162.0,148.0,0.4774,0.3905,0.8519,0.6071,2.18,1.55,210.0,27.0,56.0
GA,13159,414,348.0,66.0,0.1594,0.1429,0.3095,0.125,2.17,0.88,315.0,42.0,8.0
NC,37181,516,364.0,152.0,0.2946,0.2094,0.4552,0.3396,2.17,1.62,234.0,145.0,53.0
TN,47037,12426,10912.0,1514.0,0.1218,0.1013,0.2198,0.1877,2.17,1.85,8059.0,1233.0,911.0
AR,05147,56,29.0,27.0,0.4821,0.4103,0.8889,1.0,2.17,2.44,39.0,9.0,1.0
NC,37163,874,584.0,290.0,0.3318,0.2401,0.5204,0.3984,2.17,1.66,504.0,196.0,123.0
NV,32019,1121,1029.0,92.0,0.0821,0.0767,0.1667,0.1214,2.17,1.58,821.0,12.0,140.0
GA,13197,121,74.0,47.0,0.3884,0.303,0.6563,0.5,2.17,1.65,66.0,32.0,2.0
NC,37017,467,252.0,215.0,0.4604,0.3333,0.7244,0.5217,2.17,1.57,261.0,127.0,23.0
KY,21125,1181,638.0,543.0,0.4598,0.4599,1.0,0.5333,2.17,1.16,1111.0,2.0,15.0
VA,51019,1396,1152.0,244.0,0.1748,0.169,0.3667,0.2593,2.17,1.53,1059.0,60.0,27.0
AR,05051,1932,1429.0,503.0,0.2604,0.2545,0.5517,0.427,2.17,1.68,1446.0,87.0,89.0
TN,47119,2537,2246.0,291.0,0.1147,0.1086,0.236,0.109,2.17,1.0,1869.0,89.0,156.0
TN,47145,1120,837.0,283.0,0.2527,0.2565,0.5556,0.4242,2.17,1.65,924.0,18.0,33.0
TX,48455,259,149.0,110.0,0.4247,0.3838,0.8333,0.4074,2.17,1.06,185.0,24.0,27.0
MI,26073,762,640.0,122.0,0.1601,0.1546,0.3333,0.1667,2.16,1.08,595.0,3.0,18.0
AL,01113,972,783.0,189.0,0.1944,0.1478,0.3194,0.1607,2.16,1.09,460.0,288.0,56.0
MS,28081,1544,1176.0,368.0,0.2383,0.1944,0.4195,0.2727,2.16,1.4,972.0,329.0,33.0
PA,42101,17196,14438.0,2758.0,0.1604,0.1094,0.2363,0.1658,2.16,1.52,6533.0,3682.0,1821.0
IL,17195,622,535.0,87.0,0.1399,0.1389,0.3,0.122,2.16,0.88,511.0,10.0,41.0
OH,39017,5261,4663.0,598.0,0.1137,0.0997,0.2153,0.1505,2.16,1.51,3560.0,353.0,299.0
FL,12061,2921,2411.0,510.0,0.1746,0.153,0.3309,0.1935,2.16,1.26,2176.0,139.0,279.0
TX,48423,4043,3071.0,972.0,0.2404,0.2104,0.4536,0.3518,2.16,1.67,2723.0,377.0,577.0
IL,17111,5032,4505.0,527.0,0.1047,0.0895,0.1932,0.1049,2.16,1.17,3967.0,88.0,715.0
MS,28005,159,81.0,78.0,0.4906,0.3412,0.7333,0.6667,2.15,1.95,85.0,60.0,3.0
TX,48067,477,283.0,194.0,0.4067,0.3636,0.7818,0.2857,2.15,0.79,352.0,55.0,14.0
NE,31109,5027,4698.0,329.0,0.0654,0.0606,0.13,0.17,2.15,2.8,3680.0,100.0,253.0
KY,21171,149,109.0,40.0,0.2685,0.2331,0.5,0.0,2.15,0.0,133.0,2.0,5.0
MI,26049,5662,4579.0,1083.0,0.1913,0.1573,0.3387,0.2865,2.15,1.82,4195.0,558.0,192.0
SC,45075,1394,660.0,734.0,0.5265,0.3319,0.7137,0.4324,2.15,1.3,455.0,695.0,37.0
NC,37015,193,122.0,71.0,0.3679,0.25,0.5366,0.0,2.15,0.0,92.0,82.0,1.0
SC,45033,406,195.0,211.0,0.5197,0.3333,0.7151,0.5,2.15,1.5,177.0,186.0,10.0
TN,47051,760,665.0,95.0,0.125,0.128,0.2759,0.0,2.15,0.0,617.0,29.0,16.0
OH,39023,1909,1621.0,288.0,0.1509,0.1337,0.288,0.2128,2.15,1.59,1384.0,125.0,47.0
KY,21145,1014,756.0,258.0,0.2544,0.2357,0.5067,0.4375,2.15,1.86,768.0,75.0,16.0
IL,17031,60426,51199.0,9227.0,0.1527,0.1223,0.2626,0.178,2.15,1.46,32258.0,9539.0,12379.0
NC,37065,692,492.0,200.0,0.289,0.1846,0.3967,0.2174,2.15,1.18,260.0,300.0,46.0
VA,51630,380,331.0,49.0,0.1289,0.0856,0.1829,0.0811,2.14,0.95,187.0,82.0,37.0
MA,25011,691,600.0,91.0,0.1317,0.1169,0.25,0.2813,2.14,2.41,539.0,12.0,32.0
TX,48395,330,167.0,163.0,0.4939,0.3738,0.8,0.5769,2.14,1.54,206.0,40.0,52.0
PA,42061,425,336.0,89.0,0.2094,0.2005,0.4286,0.1667,2.14,0.83,374.0,7.0,6.0
PA,42021,1603,1325.0,278.0,0.1734,0.1638,0.35,0.2353,2.14,1.44,1349.0,40.0,34.0
NC,37021,4203,3340.0,863.0,0.2053,0.1931,0.4135,0.3951,2.14,2.05,3299.0,133.0,243.0
IL,17163,3982,3430.0,552.0,0.1386,0.1098,0.2349,0.1957,2.14,1.78,2505.0,681.0,138.0
UT,49049,12965,11360.0,1605.0,0.1238,0.118,0.2521,0.1961,2.14,1.66,10438.0,119.0,1673.0
OH,39141,978,795.0,183.0,0.1871,0.1926,0.4118,0.3846,2.14,2.0,815.0,17.0,13.0
VA,51620,160,142.0,18.0,0.1125,0.0678,0.1452,0.25,2.14,3.69,59.0,62.0,4.0
FL,12079,257,128.0,129.0,0.5019,0.3776,0.8082,0.6667,2.14,1.77,143.0,73.0,15.0
MD,24009,1340,1176.0,164.0,0.1224,0.0995,0.2134,0.1774,2.14,1.78,874.0,164.0,62.0
MI,26011,182,134.0,48.0,0.2637,0.2345,0.5,0.0,2.13,0.0,145.0,2.0,5.0
OH,39117,516,436.0,80.0,0.155,0.1565,0.3333,0.4,2.13,2.56,441.0,3.0,5.0
LA,22109,1510,956.0,554.0,0.3669,0.2908,0.6196,0.4507,2.13,1.55,822.0,326.0,71.0
AL,01111,346,244.0,102.0,0.2948,0.2686,0.5714,0.0,2.13,0.0,283.0,28.0,3.0
VA,51149,661,448.0,213.0,0.3222,0.2219,0.4729,0.381,2.13,1.72,302.0,203.0,63.0
SC,45041,2195,1593.0,602.0,0.2743,0.194,0.4137,0.2564,2.13,1.32,1005.0,788.0,78.0
TN,47055,496,399.0,97.0,0.1956,0.1874,0.4,0.0909,2.13,0.49,427.0,20.0,11.0
IL,17183,857,731.0,126.0,0.147,0.1348,0.2857,0.1154,2.12,0.86,660.0,49.0,26.0
GA,13185,2074,1709.0,365.0,0.176,0.1502,0.3179,0.2059,2.12,1.37,1092.0,431.0,136.0
VA,51800,2251,1951.0,300.0,0.1333,0.0862,0.1827,0.1488,2.12,1.72,916.0,799.0,121.0
NC,37135,1925,1668.0,257.0,0.1335,0.1132,0.2405,0.2689,2.12,2.37,1254.0,158.0,119.0
NC,37033,316,236.0,80.0,0.2532,0.1857,0.3944,0.2727,2.12,1.47,210.0,71.0,11.0
CT,09003,12735,11140.0,1595.0,0.1252,0.0995,0.2107,0.1723,2.12,1.73,7525.0,1476.0,1793.0
IN,18043,1448,1274.0,174.0,0.1202,0.1154,0.2449,0.1951,2.12,1.69,1179.0,49.0,41.0
VA,51115,151,124.0,27.0,0.1788,0.157,0.3333,0.3333,2.12,2.12,121.0,6.0,3.0
GA,13003,57,25.0,32.0,0.5614,0.4324,0.9167,0.25,2.12,0.58,37.0,12.0,8.0
IL,17053,197,168.0,29.0,0.1472,0.1576,0.3333,0.0833,2.12,0.53,165.0,3.0,12.0
MO,29183,6889,6215.0,674.0,0.0978,0.0877,0.186,0.1649,2.12,1.88,4901.0,344.0,188.0
PA,42045,7280,6319.0,961.0,0.132,0.0934,0.1973,0.1821,2.11,1.95,3845.0,1272.0,291.0
WA,53027,1344,1157.0,187.0,0.1391,0.1316,0.2778,0.1167,2.11,0.89,980.0,18.0,60.0
MS,28115,439,253.0,186.0,0.4237,0.3456,0.7294,0.6429,2.11,1.86,298.0,85.0,14.0
OH,39047,376,334.0,42.0,0.1117,0.1182,0.25,0.3333,2.11,2.82,313.0,4.0,6.0
FL,12053,4973,4010.0,963.0,0.1936,0.1657,0.3498,0.1985,2.11,1.2,3614.0,263.0,1083.0
MN,27109,2547,2329.0,218.0,0.0856,0.0813,0.1709,0.1371,2.1,1.69,1721.0,117.0,124.0
CO,08023,56,38.0,18.0,0.3214,0.2381,0.5,0.4118,2.1,1.73,42.0,2.0,17.0
GA,13217,2044,1653.0,391.0,0.1913,0.1144,0.2407,0.1721,2.1,1.5,577.0,993.0,122.0
TN,47189,3480,3112.0,368.0,0.1057,0.0967,0.2032,0.1898,2.1,1.96,2441.0,187.0,216.0
MS,28087,850,692.0,158.0,0.1859,0.1422,0.2982,0.1724,2.1,1.21,422.0,228.0,29.0
PA,42085,1273,1042.0,231.0,0.1815,0.1684,0.3514,0.1667,2.09,0.99,1033.0,37.0,12.0
KY,21195,734,394.0,340.0,0.4632,0.4775,1.0,0.5,2.09,1.05,668.0,2.0,2.0
KS,20035,409,356.0,53.0,0.1296,0.1197,0.25,0.2333,2.09,1.95,309.0,8.0,30.0
AR,05027,378,205.0,173.0,0.4577,0.335,0.6984,0.4444,2.09,1.33,206.0,126.0,9.0
LA,22099,845,506.0,339.0,0.4012,0.2882,0.6017,0.5556,2.09,1.93,458.0,241.0,18.0
GA,13169,425,329.0,96.0,0.2259,0.1535,0.3205,0.1765,2.09,1.15,254.0,78.0,17.0
LA,22123,158,84.0,74.0,0.4684,0.4118,0.8571,0.6667,2.08,1.62,119.0,14.0,6.0
TN,47165,4089,3616.0,473.0,0.1157,0.1091,0.2267,0.1494,2.08,1.37,3134.0,150.0,241.0
KY,21005,376,318.0,58.0,0.1543,0.1605,0.3333,0.0909,2.08,0.57,324.0,3.0,11.0
TX,48217,793,538.0,255.0,0.3216,0.2935,0.6111,0.471,2.08,1.6,603.0,36.0,155.0
