facility_name,facility_name_norm,state,county,facility_type,severity_score,total_penalties,total_donated,donation_count,unique_donors,unique_committees,years_active
ALL STAR METALS LLC,ALL STAR METALS,TX,CAMERON,industrial,10.0,0.0,2115.0,6,2,2,"2015,2019,2020"
MASTER CONCRETE AND AGGREGATES - MOROVIS PLANT,MASTER CONCRETE AND AGGREGATES MOROVIS PLANT,PR,MOROVIS MUNICIPIO,industrial,10.0,0.0,2115.0,27,2,3,"2017,2022"
WASTE PRO OF FLORIDA,WASTE PRO OF FLORIDA,FL,PUTNAM,industrial,10.0,0.0,2114.0,21,5,7,"2018,2019,2020,2021,2024"
CARBON ACTIVATED CORP,CARBON ACTIVATED,CA,LOS ANGELES,industrial,15.0,0.0,2114.0,10,3,4,"2020,2024"
HEART OF GEORGIA RAILROAD - CORDELE,HEART OF GEORGIA RAILROAD CORDELE,GA,CRISP COUNTY,industrial,20.0,0.0,2113.0,15,2,2,"2016,2021"
GLOBE ELECTRIC CO,GLOBE ELECTRIC,PA,ALLEGHENY,industrial,15.0,0.0,2113.0,3,1,1,2016
VIRGINIA AMERICAN WATER PRINCE WILLIAM - SECTION 1,VIRGINIA AMERICAN WATER PRINCE WILLIAM SECTION 1,VA,PRINCE WILLIAM,industrial,10.0,0.0,2112.0,21,6,5,"2015,2016,2023,2024"
INDUSTRIAL COLOR INC.,INDUSTRIAL COLOR,IL,WILL,industrial,10.0,0.0,2112.0,68,4,7,"2018,2019,2020,2024"
ADVANCED CIRCUITS INC,ADVANCED CIRCUITS,AZ,MARICOPA COUNTY,industrial,25.0,0.0,2112.0,55,5,6,"2019,2020,2021"
PORT OF BEAUMONT,PORT OF BEAUMONT,TX,JEFFERSON,industrial,25.0,8750.0,2112.0,9,5,5,"2023,2024"
RAPPAHANNOCK COMMUNITY COLLEGE,RAPPAHANNOCK COMMUNITY COLLEGE,VA,GLOUCESTER,water_system,10.0,0.0,2111.0,58,4,4,"2017,2018,2019,2020"
US ARMY FORT SAM HOUSTON,US ARMY FORT SAM HOUSTON,TX,BEXAR,industrial,15.0,0.0,2110.0,70,4,6,"2015,2016,2019,2020,2024"
VILLAGE WATER ASSOCIATION,VILLAGE WATER ASSOCIATION,AR,,water_system,0.0,0.0,2110.0,16,7,7,"2016,2018,2020,2023,2024"
TABLE ROCK HOTEL,TABLE ROCK HOTEL,PA,,water_system,0.0,0.0,2110.0,5,2,3,"2019,2024"
RUBY DOME HOLDINGS DBA ELKO RV PARK,RUBY DOME HOLDINGS ELKO RV PARK,NV,,water_system,0.0,0.0,2110.0,9,2,2,2020
KIDS KORNER LEARNING CENTER,KIDS KORNER LEARNING CENTER,NC,,water_system,0.0,0.0,2110.0,42,1,3,"2022,2023,2024"
A1 ORGANICS,A1 ORGANICS,CO,WELD,industrial,20.0,175.0,2110.0,9,1,1,2024
ADM CORN PROCESSING,ADM CORN PROCESSING,IA,CLINTON,industrial,15.0,0.0,2109.0,60,4,1,"2015,2016,2017,2018,2019,2020,2021,2022,2024"
MEMORIAL BAPTIST CHURCH,MEMORIAL BAPTIST CHURCH,FL,,water_system,0.0,0.0,2109.0,36,5,8,"2016,2020,2022,2024"
DIVINE MERCY ACADEMY UNAPPROVED,DIVINE MERCY ACADEMY UNAPPROVED,MT,,water_system,0.0,0.0,2109.0,57,3,4,"2020,2021,2022,2023,2024"
OAKLAND VALLEY RACE PARK-TREATMENT PLANT,OAKLAND VALLEY RACE PARK TREATMENT PLANT,NY,ORANGE,industrial,20.0,0.0,2109.0,23,5,6,"2020,2021,2024"
EASTERN OHIO REGIONAL WW AUTHORITY,EASTERN OHIO REGIONAL WW AUTHORITY,OH,BELMONT,industrial,15.0,0.0,2109.0,58,1,3,"2021,2022,2024"
VEADOS MINI MARKET,VEADOS MINI MARKET,PA,,water_system,15.0,0.0,2108.0,4,1,2,2020
BRIGHT HOPE LAUREL UMC,BRIGHT HOPE LAUREL UMC,NC,,water_system,0.0,0.0,2107.0,27,5,8,"2016,2020,2022"
NORTHEAST SOLITE CORPORATION,NORTHEAST SOLITE,NY,ULSTER,industrial,25.0,6390.0,2107.0,5,2,3,"2016,2020,2021"
WILKO PAINT,WILKO PAINT,KS,SEDGWICK,industrial,25.0,0.0,2107.0,26,4,6,"2016,2018,2019,2020,2022,2024"
NORTECH SYSTEMS,NORTECH SYSTEMS,MN,MILLE LACS,water_system,30.0,0.0,2106.0,40,3,4,"2015,2016,2019,2020"
ASPEN CREEK WATER COMPANY,ASPEN CREEK WATER COMPANY,ID,BEAR LAKE,water_system,20.0,0.0,2106.0,18,2,4,"2015,2020"
THE PIZZA PARLOR,THE PIZZA PARLOR,MI,,water_system,0.0,0.0,2106.0,26,2,3,"2016,2017,2018"
PLUMMER PRECISION OPTICS INC,PLUMMER PRECISION OPTICS,PA,MONTGOMERY,industrial,15.0,0.0,2106.0,9,2,5,"2016,2020"
WILSON HOME HEATING,WILSON HOME HEATING,PA,FAYETTE COUNTY,industrial,15.0,0.0,2106.0,16,4,5,"2020,2024"
"DAN DAWSON CONSTRUCTION, INC.",DAN DAWSON CONSTRUCTION,WA,PEND OREILLE,industrial,10.0,0.0,2106.0,34,3,4,"2020,2022,2024"
LIFETIME METAL SALES,LIFETIME METAL SALES,,,industrial,15.0,0.0,2106.0,32,6,7,"2020,2022,2024"
VALUE VILLAGE PARKING LOT,VALUE VILLAGE PARKING LOT,WA,SPOKANE COUNTY,industrial,20.0,0.0,2106.0,25,4,3,"2020,2023"
JOSTEN S INC,JOSTEN S,TX,DENTON,industrial,5.0,0.0,2105.0,8,3,3,"2015,2016,2020"
SPLASH-N-DASH CARWASH,SPLASH N DASH CARWASH,LA,ASCENSION,industrial,20.0,0.0,2105.0,7,4,4,"2017,2019,2020,2024"
CON - WAY SOUTHERN EXPRESS,CON WAY SOUTHERN EXPRESS,FL,DUVAL,industrial,35.0,36634.0,2105.0,4,1,2,2020
SAN MAR,SAN MAR,MD,WASHINGTON,water_system,25.0,0.0,2105.0,17,6,7,"2020,2024"
CAMP SHOHOLA,CAMP SHOHOLA,PA,,water_system,15.0,0.0,2105.0,6,1,3,"2020,2021,2023"
MID OHIO SPORTS CAR COURSE,MID OHIO SPORTS CAR COURSE,OH,MORROW,industrial,20.0,0.0,2104.0,17,7,8,"2015,2016,2020,2022,2023,2024"
RIVER CITY IRON & METAL,RIVER CITY IRON METAL,LA,CADDO,industrial,10.0,0.0,2104.0,4,2,3,"2020,2024"
MICHIGAN PRECISION SWISS PARTS,MICHIGAN PRECISION SWISS PARTS,,,industrial,15.0,0.0,2104.0,2,2,2,"2020,2024"
NOVA INDUSTRIES INC,NOVA INDUSTRIES,NC,CALDWELL,industrial,10.0,0.0,2104.0,10,2,3,"2020,2022"
HDT EXPEDITIONARY SYSTEMS INC,HDT EXPEDITIONARY SYSTEMS,OH,ASHTABULA,water_system,25.0,3200.0,2104.0,5,2,3,2024
MY 3 SONS SEAFOOD,MY 3 SONS SEAFOOD,NJ,,water_system,10.0,0.0,2103.0,16,2,3,"2016,2020"
"WEBCRAFT CHEMICALS INC, CRAIG ADHESIVES DIV",WEBCRAFT CHEMICALS CRAIG ADHESIVES DIV,NJ,ESSEX,industrial,15.0,0.0,2103.0,93,1,5,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
BEST INN,BEST INN,NY,,water_system,0.0,0.0,2103.0,23,5,6,"2020,2021,2022,2024"
GREAT ELM PLAZA,GREAT ELM PLAZA,NH,,water_system,15.0,0.0,2103.0,4,1,3,2020
ATI SPECIALTY MATERIALS - MONROE PLANT,ATI SPECIALTY MATERIALS MONROE PLANT,NC,UNION,industrial,15.0,0.0,2102.0,7,2,3,2024
HINES PRECISION INC.,HINES PRECISION,KY,DAVIESS,industrial,15.0,0.0,2101.0,5,2,3,2024
COASTAL COUNTRY RIVERSIDE RESORT,COASTAL COUNTRY RIVERSIDE RESORT,,DALLAS,industrial,15.0,0.0,2100.0,19,6,6,"2015,2016,2017,2020,2022,2023,2024"
WACHUSETT LOWER GATE HOUSE,WACHUSETT LOWER GATE HOUSE,MA,,industrial,10.0,0.0,2100.0,6,3,3,"2015,2016,2019,2020"
SHEPARD BROTHERS INC,SHEPARD BROTHERS,CA,ORANGE,industrial,20.0,0.0,2100.0,7,1,1,"2015,2016,2017,2018,2019,2020,2022"
APPALACHIAN REGIONAL PORT,APPALACHIAN REGIONAL PORT,GA,MURRAY COUNTY,industrial,25.0,0.0,2100.0,7,1,1,"2015,2016,2017,2018,2019,2020,2021"
USPS TRENTON PROCESS AND DISTRIBUTION CENTER,USPS TRENTON PROCESS AND DISTRIBUTION CENTER,NJ,MERCER,industrial,25.0,0.0,2100.0,7,1,3,2015
SUWANNEE LUMBER CO INC,SUWANNEE LUMBER,FL,DIXIE,industrial,5.0,0.0,2100.0,3,2,2,"2015,2016,2018"
BLUESTEM FARM AND EVENTS,BLUESTEM FARM AND EVENTS,IL,,water_system,0.0,0.0,2100.0,5,1,2,"2015,2016,2022"
PAC PAPER INC,PAC PAPER,WA,CLARK,industrial,25.0,0.0,2100.0,3,3,3,"2015,2016,2018"
NEW ENG SALEM CHILDRENS TRUST,NEW ENG SALEM CHILDRENS TRUST,NH,,water_system,0.0,0.0,2100.0,6,4,3,"2015,2016,2020,2022"
SKO-DIE INC,SKO DIE,IL,COOK,industrial,5.0,0.0,2100.0,5,1,1,"2016,2022,2023,2024"
QUALITY PLATING CO INC,QUALITY PLATING,MI,MUSKEGON,industrial,25.0,0.0,2100.0,13,4,4,"2016,2018,2019,2020"
HIDDEN VALLEY,HIDDEN VALLEY,MO,BENTON,industrial,20.0,0.0,2100.0,10,3,3,"2016,2019,2020,2022"
RIVERBEND RESORT,RIVERBEND RESORT,CO,,water_system,0.0,0.0,2100.0,3,3,2,"2016,2022"
CALIFORNIA MARINE CLEANING INC,CALIFORNIA MARINE CLEANING,CA,SAN DIEGO,industrial,10.0,0.0,2100.0,8,2,2,"2016,2020"
GARRETT EXCAVATING,GARRETT EXCAVATING,AR,SALINE,industrial,10.0,0.0,2100.0,3,3,2,"2016,2021"
CHERENZIA EXCAVATION INC,CHERENZIA EXCAVATION,RI,WASHINGTON,industrial,15.0,0.0,2100.0,7,3,3,"2017,2018,2022"
"STRATFORD WEST ASSOCIATION, INC.-TREATMENT/STORAGE",STRATFORD WEST ASSOCIATION TREATMENT STORAGE,IL,MCDONOUGH,industrial,10.0,0.0,2100.0,5,2,5,"2017,2020"
CAMP HAZEN YMCA WELL #1,CAMP HAZEN YMCA WELL 1,CT,MIDDLESEX,water_system,10.0,0.0,2100.0,24,2,2,"2017,2018"
MID MO DRAIN CLEANING AND P,MID MO DRAIN CLEANING AND P,MO,GASCONADE,industrial,10.0,0.0,2100.0,9,3,3,"2017,2018,2020,2021,2023"
