facility_name,facility_name_norm,state,county,facility_type,severity_score,total_penalties,total_donated,donation_count,unique_donors,unique_committees,years_active
SPACE EXPLORATION TECHNOLOGIES CORP,SPACE EXPLORATION TECHNOLOGIES,CA,LOS ANGELES,industrial,30.0,90000.0,255521241.0,37860,1000,97,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
LAS VEGAS (CITY OF),LAS VEGAS CITY OF,NM,SAN MIGUEL,water_system,65.0,33600.0,173435339.0,20257,1000,470,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
LONE PINE,LONE PINE,TX,TRAVIS COUNTY,industrial,10.0,0.0,46508185.0,1406,67,342,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
HONEYWELL INTERNATIONAL INC,HONEYWELL INTERNATIONAL,IL,MASSAC,industrial,40.0,0.0,32632590.0,481350,1000,140,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
MEDICAL CENTER,MEDICAL CENTER,KY,WARREN,industrial,10.0,0.0,27781401.0,225633,1000,2392,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
AMERICAN UNITED LIFE INSURANCE CO.,AMERICAN UNITED LIFE INSURANCE,IN,MARION,industrial,15.0,0.0,27185647.0,249711,1000,731,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
LOCKHEED MARTIN,LOCKHEED MARTIN,NJ,BURLINGTON,industrial,15.0,0.0,25120062.0,227696,1000,913,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
NORTHROP GRUMMAN CORP,NORTHROP GRUMMAN,FL,MARTIN,industrial,15.0,0.0,21942964.0,486710,1000,813,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
STANFORD UNIVERSITY,STANFORD UNIVERSITY,CA,SANTA CLARA,water_system,35.0,0.0,19058420.0,72743,1000,1185,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
"HEALTH CARE, INC.",HEALTH CARE,AL,ST. CLAIR,industrial,10.0,0.0,18315706.0,128934,1000,1709,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
WELLS FARGO WATER COMPANY,WELLS FARGO WATER COMPANY,AZ,PIMA,water_system,20.0,0.0,18193798.0,139459,1000,1847,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
ABC SUPPLY CO INC,ABC SUPPLY,CA,SAN BERNARDINO COUNTY,industrial,10.0,0.0,18077860.0,675,131,107,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
AMAZON.COM SERVICES LLC DPH8 PKG PHILADELPH4,AMAZON COM SERVICES DPH8 PKG PHILADELPH4,PA,PHILADELPHIA COUNTY,industrial,15.0,0.0,14534669.0,14793,1000,432,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
DELTA AIR LINES INC,DELTA AIR LINES,NY,QUEENS,industrial,15.0,0.0,14379880.0,123987,1000,575,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
PILOT HOUSE INN,PILOT HOUSE INN,VA,MIDDLESEX,water_system,25.0,0.0,14183267.0,453,20,169,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
PRATT INDUSTRIES INC.,PRATT INDUSTRIES,MI,BERRIEN,industrial,25.0,0.0,14116115.0,374,49,39,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UNITED AIRLINES,UNITED AIRLINES,GA,CLAYTON COUNTY,industrial,25.0,0.0,14062355.0,200410,1000,924,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
CITY OF SOUTH SAN FRANCISCO,CITY OF SOUTH SAN FRANCISCO,CA,SAN MATEO COUNTY,industrial,25.0,0.0,12650124.0,57324,1000,908,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
AMERICAN AIRLINES,AMERICAN AIRLINES,GA,FULTON COUNTY,industrial,25.0,0.0,12122969.0,146848,1000,1023,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
BNSF RAILWAY COMPANY,BNSF RAILWAY COMPANY,IA,DES MOINES,industrial,15.0,0.0,12025951.0,201277,1000,54,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UNIVERSITY OF THE DISTRICT COLUMBIA COMMUNITY COLLEGE,UNIVERSITY OF THE DISTRICT COLUMBIA COMMUNITY COLLEGE,DC,DISTRICT OF COLUMBIA,industrial,15.0,0.0,11616535.0,62767,1000,969,"2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UNIVERSITY OF WASHINGTON FOSTER SCHOOL,UNIVERSITY OF WASHINGTON FOSTER SCHOOL,WA,KING,industrial,15.0,0.0,11062889.0,74907,1000,818,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
BANK OF AMERICA,BANK OF AMERICA,NJ,MORRIS,industrial,15.0,0.0,10720241.0,143719,1000,1059,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
CALIFORNIA STATE UNIVERSITY FULLERTON,CALIFORNIA STATE UNIVERSITY FULLERTON,CA,ORANGE,industrial,15.0,0.0,10410055.0,76228,1000,839,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
GENERAL MOTORS COMPANY,GENERAL MOTORS COMPANY,MI,EATON,industrial,10.0,0.0,10354771.0,298492,1000,37,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
POINT BLUFF RESORT BAR,POINT BLUFF RESORT BAR,WI,ADAMS,water_system,10.0,0.0,10133845.0,449,30,154,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
LAUREL RIDGE LANDFILL (SOUTHERN WASTE SERVICES),LAUREL RIDGE LANDFILL SOUTHERN WASTE SERVICES,KY,LOGAN,industrial,10.0,0.0,9794793.0,122,8,66,"2015,2016,2017,2018,2019,2020,2022,2024"
KAISER PERMANENTE,KAISER PERMANENTE,CA,ALAMEDA,industrial,25.0,0.0,9673657.0,102666,1000,1061,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UNIVERSITY OF MICHIGAN,UNIVERSITY OF MICHIGAN,MI,WASHTENAW,industrial,15.0,0.0,9543403.0,76294,1000,788,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
ELI LILLY AND COMPANY- ENFIELD DISTRIBUTION CENTER,ELI LILLY AND COMPANY ENFIELD DISTRIBUTION CENTER,CT,HARTFORD,industrial,10.0,0.0,8972376.0,84809,1000,359,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
O'CONNOR UTILITY DISTRICT,O CONNOR UTILITY DISTRICT,TN,WHITE,water_system,15.0,0.0,8618342.0,12135,1000,693,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
RAYTHEON COMPANY,RAYTHEON COMPANY,MS,SCOTT,water_system,20.0,0.0,8242863.0,119102,1000,149,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
STATE UNIVERSITY OF NEW YORK-SUNY-BUFFALO NORTH CAMPUS,STATE UNIVERSITY OF NEW YORK SUNY BUFFALO NORTH CAMPUS,NY,ERIE,industrial,10.0,0.0,7964769.0,60678,1000,815,"2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
"SAN DIEGO, CITY OF",SAN DIEGO CITY OF,CA,,water_system,0.0,0.0,7900281.0,31581,1000,577,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UNITED PARCEL SERVICE,UNITED PARCEL SERVICE,NJ,MONMOUTH,industrial,50.0,5300000.0,7395215.0,228543,1000,199,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
FORD MOTOR CO RESEARCH & ENG CENTER,FORD MOTOR RESEARCH ENG CENTER,MI,WAYNE,industrial,15.0,0.0,7392269.0,98127,1000,443,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UNIVERSITY OF CALIFORNIA SAN DIEGO,UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,SAN DIEGO,industrial,10.0,0.0,7374940.0,11416,987,310,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
NEW BALANCE ATHLETIC SHOE INC,NEW BALANCE ATHLETIC SHOE,MA,SUFFOLK,industrial,15.0,0.0,7335425.0,50,6,14,"2016,2018,2019,2020,2021,2022,2023,2024"
AT&T SERVICES INC,AT T SERVICES,LA,EAST BATON ROUGE,industrial,10.0,0.0,7220360.0,102933,1000,143,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
YALE UNIVERSITY CENTRAL POWER PLANT,YALE UNIVERSITY CENTRAL POWER PLANT,CT,NEW HAVEN,industrial,10.0,0.0,7184615.0,38451,1000,680,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
TAMKO BUILDING PRODUCTS INC,TAMKO BUILDING PRODUCTS,AL,TUSCALOOSA,industrial,15.0,0.0,7171855.0,203,36,82,"2015,2016,2017,2018,2019,2020,2022,2024"
BLUE CROSS BLUE SHIELD,BLUE CROSS BLUE SHIELD,MI,,water_system,0.0,0.0,7170827.0,68956,1000,528,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
CATERPILLAR INC,CATERPILLAR,IL,LIVINGSTON,industrial,45.0,64044.0,6886285.0,55057,1000,278,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
NORFOLK SOUTHERN THOROUGHBRED BULK TRANSFER - DORAVILLE,NORFOLK SOUTHERN THOROUGHBRED BULK TRANSFER DORAVILLE,GA,GWINNETT COUNTY,industrial,25.0,0.0,6691430.0,75821,1000,151,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
J & T MOBILE HOME PARK LLC,J T MOBILE HOME PARK,DE,SUSSEX,industrial,20.0,0.0,6671878.0,104321,1000,365,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UNIVERSITY OF NORTH TEXAS,UNIVERSITY OF NORTH TEXAS,TX,DENTON,industrial,25.0,0.0,6670083.0,55829,1000,770,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
NATIONAL MEDICAL CARE INC,NATIONAL MEDICAL CARE,NJ,BURLINGTON,industrial,5.0,0.0,6245306.0,25109,1000,471,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
CHILDREN'S HOSPITAL OF PHILADELPHIA - KING OF PRUSSIA,CHILDREN S HOSPITAL OF PHILADELPHIA KING OF PRUSSIA,PA,MONTGOMERY,industrial,10.0,0.0,6105965.0,45707,1000,902,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
MARATHON PETROLEUM COMPANY LP,MARATHON PETROLEUM COMPANY,MI,WAYNE COUNTY,industrial,25.0,0.0,6031398.0,194974,1000,84,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
MERCK SHARP & DOHME CORP,MERCK SHARP DOHME,NJ,UNION,industrial,50.0,200.0,5887307.0,47512,1000,30,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UC BERKELEY-MAIN CAMPUS,UC BERKELEY MAIN CAMPUS,CA,ALAMEDA,industrial,15.0,0.0,5831177.0,33482,1000,591,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
AT&T CORP,AT T,GA,CLAYTON,industrial,25.0,0.0,5757976.0,59389,1000,1040,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
CHASE BANK-,CHASE BANK,LA,LAFOURCHE,industrial,10.0,0.0,5737013.0,120882,1000,194,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
GALLIANO MARINE SERVICES LLC - EDISON CHOUEST OFFSHORE,GALLIANO MARINE SERVICES EDISON CHOUEST OFFSHORE,LA,LAFOURCHE,industrial,15.0,0.0,5500853.0,526,65,95,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
CONTINENTAL RESOURCES INC,CONTINENTAL RESOURCES,SD,HARDING,industrial,15.0,0.0,5488296.0,20482,449,140,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
SUZANNE & WALTER SCOTT FOUNDATION,SUZANNE WALTER SCOTT FOUNDATION,,,industrial,15.0,0.0,5357426.0,1091,14,278,"2012,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024"
BLUFF POINT WATER,BLUFF POINT WATER,NY,,water_system,0.0,0.0,5173549.0,259,30,98,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
MORNING STAR BAPTIST CHURCH,MORNING STAR BAPTIST CHURCH,NC,ROWAN,water_system,20.0,0.0,5157758.0,556,74,144,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
CAPITAL ONE AUTO DISMANTLERNA INC,CAPITAL ONE AUTO DISMANTLERNA,CA,SACRAMENTO,industrial,20.0,0.0,5128879.0,42898,1000,485,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
INTERNATIONAL PAPER,INTERNATIONAL PAPER,OK,MCCURTAIN,water_system,50.0,0.0,5111777.0,60122,1000,181,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
"WALT DISNEY PARKS AND RESORTS US, INC",WALT DISNEY PARKS AND RESORTS US,FL,ORANGE,industrial,10.0,0.0,5059853.0,20541,1000,546,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
SOUTHWEST AIRLINES,SOUTHWEST AIRLINES,GA,FULTON COUNTY,industrial,20.0,0.0,5034936.0,78255,1000,559,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
US ARMY GARRISON COMMAND - FORT KNOX,US ARMY GARRISON COMMAND FORT KNOX,KY,HARDIN,industrial,10.0,0.0,5015165.0,60102,1000,1044,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UNIVERSITY OF MARYLAND,UNIVERSITY OF MARYLAND,MD,PRINCE GEORGE'S,industrial,10.0,0.0,4956085.0,46800,1000,660,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
RED ROCK ENERGY GROUP INC,RED ROCK ENERGY GROUP,LA,LAFOURCHE,industrial,40.0,21522.0,4948797.0,1165,154,133,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
MOTOROLA SOLUTIONS INC,MOTOROLA SOLUTIONS,IL,COOK,industrial,15.0,0.0,4825621.0,77245,1000,170,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UNIVERSITY OF MINNESOTA - SAINT PAUL,UNIVERSITY OF MINNESOTA SAINT PAUL,MN,RAMSEY,industrial,10.0,0.0,4822497.0,33508,1000,543,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
BOSTON UNIVERSITY DATA AND SCIENCE BUILDING,BOSTON UNIVERSITY DATA AND SCIENCE BUILDING,MA,SUFFOLK COUNTY,industrial,10.0,0.0,4819753.0,32475,1000,577,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
JOHNS HOPKINS UNIVERSITY,JOHNS HOPKINS UNIVERSITY,MD,,industrial,10.0,0.0,4819009.0,26262,1000,618,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
"MAXWELL COMMUNICATION CORP, LOS ANGELES",MAXWELL COMMUNICATION LOS ANGELES,CA,LOS ANGELES,industrial,15.0,0.0,4676087.0,83199,1000,628,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY,DC,DISTRICT OF COLUMBIA,industrial,10.0,0.0,4675367.0,24926,1000,700,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
COLDWELL BANKER REAL ESTATE OFFICE,COLDWELL BANKER REAL ESTATE OFFICE,IN,,water_system,15.0,0.0,4640358.0,31256,1000,1106,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
JP MORGAN CHASE TOWER,JP MORGAN CHASE TOWER,TX,DALLAS,industrial,30.0,69750.0,4632615.0,4541,795,459,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
TUFTS UNIVERSITY FACILITIES OFFICE,TUFTS UNIVERSITY FACILITIES OFFICE,MA,MIDDLESEX,industrial,10.0,0.0,4607680.0,17679,740,519,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
RED APPLE - PORT CRANE M0356,RED APPLE PORT CRANE M0356,NY,,water_system,0.0,0.0,4595403.0,587,56,205,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
STATE BANK & TRUST CO.,STATE BANK TRUST,LA,LAFOURCHE,industrial,10.0,0.0,4574366.0,13366,1000,693,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
EAST CENTRAL HIGH SCHOOL,EAST CENTRAL HIGH SCHOOL,MS,,water_system,0.0,0.0,4459729.0,63678,1000,1026,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
WOLVERINE WORLD WIDE TANNERY,WOLVERINE WORLD WIDE TANNERY,MI,KENT,industrial,10.0,0.0,4434438.0,2447,149,312,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
PNC BANK,PNC BANK,FL,SARASOTA,water_system,20.0,0.0,4387258.0,44238,1000,264,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
PRINCETON UNIVERSITY COGENERATION,PRINCETON UNIVERSITY COGENERATION,NJ,MERCER,industrial,25.0,14000.0,4352497.0,25326,1000,469,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UNION SQUARE,UNION SQUARE,PA,,water_system,15.0,0.0,4330989.0,2097,94,224,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
MAYO CLINIC,MAYO CLINIC,FL,DUVAL,industrial,10.0,0.0,4315492.0,28268,1000,551,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
SENIOR LIVING SYSTEMS INC.,SENIOR LIVING SYSTEMS,NM,VALENCIA,water_system,25.0,0.0,4308507.0,9157,1000,496,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
THE OHIO STATE UNIVERSITY MAIN CAMPUS,THE OHIO STATE UNIVERSITY MAIN CAMPUS,OH,FRANKLIN,industrial,10.0,0.0,4285706.0,37491,1000,538,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
IOWA STATE UNIVERSITY,IOWA STATE UNIVERSITY,IA,STORY,industrial,25.0,15000.0,4270249.0,35302,1000,415,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
KERR RES JC COOPER 023 RANGER HOUSE,KERR RES JC COOPER 023 RANGER HOUSE,NC,,water_system,0.0,0.0,4265887.0,520,9,131,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
WERNER ENTERPRISES INC,WERNER ENTERPRISES,MI,WAYNE COUNTY,industrial,20.0,0.0,4223562.0,11632,217,105,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
ANDURIL INDUSTRIES INC,ANDURIL INDUSTRIES,MS,STONE,industrial,10.0,0.0,4150662.0,1198,65,291,"2017,2018,2019,2020,2021,2022,2023,2024"
CHARTER COMMUNICATIONS LLC,CHARTER COMMUNICATIONS,LA,ST TAMMANY,industrial,10.0,0.0,4144433.0,48820,1000,315,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
CORNELL UNIVERSITY,CORNELL UNIVERSITY,NY,,water_system,0.0,0.0,4134190.0,33696,1000,546,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
GREEN REAL ESTATE ENTERPRISES LLC,GREEN REAL ESTATE ENTERPRISES,CA,,water_system,0.0,0.0,4106520.0,9567,1000,781,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
CITY OF EAST PALO ALTO,CITY OF EAST PALO ALTO,CA,,water_system,15.0,0.0,4098085.0,3968,244,267,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
HOME DEPOT U.S.A.  HD0776,HOME DEPOT U S A HD0776,TN,RUTHERFORD,industrial,10.0,0.0,4061377.0,203380,1000,9,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
REGIONS BANK,REGIONS BANK,FL,,water_system,0.0,0.0,4046246.0,35048,1000,174,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UNIVERSITY SCHOOL,UNIVERSITY SCHOOL,OH,CUYAHOGA,industrial,15.0,0.0,4032460.0,39234,1000,704,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UNIVERSITY OF ILLINOIS,UNIVERSITY OF ILLINOIS,IL,CHAMPAIGN,industrial,25.0,0.0,4028945.0,38401,1000,573,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
RUTGERS UNIVERSITY - RBHS NEWARK CAMPUS,RUTGERS UNIVERSITY RBHS NEWARK CAMPUS,NJ,ESSEX,industrial,35.0,4500.0,4020333.0,40727,1000,569,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
"MARIPOSA ENERGY, LLC",MARIPOSA ENERGY,CA,MONTEREY COUNTY,industrial,45.0,209000.0,4000600.0,16,4,3,"2018,2019,2020"
ANHEUSER-BUSCH INC.,ANHEUSER BUSCH,CA,LOS ANGELES COUNTY,industrial,35.0,0.0,3971885.0,54964,1000,162,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
EXXON MOBIL CORPORATION,EXXON MOBIL,CO,RIO BLANCO,industrial,25.0,0.0,3968499.0,16839,1000,162,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
JACKSON HOLE,JACKSON HOLE,WY,TETON,industrial,20.0,0.0,3863471.0,2109,135,228,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
EXPRESS-SCRIPTS,EXPRESS SCRIPTS,AZ,MARICOPA,industrial,10.0,0.0,3835398.0,50457,1000,209,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UNIVERSITY OF FLORIDA,UNIVERSITY OF FLORIDA,FL,ALACHUA,industrial,35.0,13670.0,3791361.0,27655,1000,558,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
CSX TRANSPORTATION INC,CSX TRANSPORTATION,WV,CABELL,industrial,25.0,27500.0,3785392.0,33647,1000,81,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
MCDONALD'S CORP,MCDONALD S,LA,LAFOURCHE,industrial,10.0,0.0,3751107.0,10276,1000,315,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UNIVERSITY OF COLORADO - DENVER,UNIVERSITY OF COLORADO DENVER,CO,DENVER,industrial,10.0,0.0,3686227.0,26147,1000,455,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UNIVERSITY OF MIAMI,UNIVERSITY OF MIAMI,FL,MIAMI-DADE,industrial,10.0,0.0,3655195.0,24819,1000,506,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
CITIZENS BANK OF ROGERSVILLE,CITIZENS BANK OF ROGERSVILLE,MO,,water_system,0.0,0.0,3627757.0,17055,1000,439,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
WEST VIRGINIA STATE UNIVERSITY,WEST VIRGINIA STATE UNIVERSITY,WV,KANAWHA,industrial,10.0,0.0,3625521.0,21674,1000,475,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
US NAVY PSNS,US NAVY PSNS,WA,KITSAP,industrial,35.0,4250.0,3623596.0,35450,1000,771,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
REPUBLIC BANK  FAIRLESS HILLS,REPUBLIC BANK FAIRLESS HILLS,PA,BUCKS COUNTY,industrial,10.0,0.0,3609567.0,4178,316,276,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
PERFORMANCE CONTRACTORS INC.,PERFORMANCE CONTRACTORS,LA,EAST BATON ROUGE,industrial,10.0,0.0,3556536.0,858,102,169,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
CAPITAL MOUNTAIN CHRISTIAN CAMP,CAPITAL MOUNTAIN CHRISTIAN CAMP,CA,PLACER,water_system,10.0,0.0,3528101.0,562,74,203,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
FARM CREDIT,FARM CREDIT,FL,,water_system,0.0,0.0,3472741.0,7525,1000,277,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
SONY PICTURES ENTERTAINMENT,SONY PICTURES ENTERTAINMENT,CA,LOS ANGELES,industrial,20.0,0.0,3470365.0,10126,503,302,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
THE HOME DEPOT,THE HOME DEPOT,GA,COBB,industrial,20.0,2000.0,3469230.0,59235,1000,322,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
INDIANA UNIVERSITY - RANGE ROAD FACILITY,INDIANA UNIVERSITY RANGE ROAD FACILITY,IN,MONROE,industrial,10.0,0.0,3464575.0,30688,1000,511,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
WYNN RESORTS,WYNN RESORTS,NV,,water_system,0.0,0.0,3445657.0,1533,90,122,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
FLORIDA POWER & LIGHT COMPANY,FLORIDA POWER LIGHT COMPANY,FL,BROWARD,water_system,10.0,0.0,3432821.0,59062,1000,32,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
"AMAZON.COM SERVICES, LLC",AMAZON COM SERVICES,NJ,BERGEN,industrial,25.0,0.0,3423342.0,42011,1000,37,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
TEXAS TECH UNIVERSITY CAMPUS JUNCTION,TEXAS TECH UNIVERSITY CAMPUS JUNCTION,TX,,water_system,0.0,0.0,3399242.0,26223,1000,541,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
HILCORP ENERGY COMPANY,HILCORP ENERGY COMPANY,LA,VERMILION,industrial,15.0,0.0,3355716.0,339,45,57,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
TAMPA BAY WATER,TAMPA BAY WATER,FL,PASCO,industrial,10.0,0.0,3346878.0,1913,333,122,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
TYSON FOODS,TYSON FOODS,NC,WILKES,industrial,25.0,0.0,3346046.0,26622,783,313,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,IL,MADISON,industrial,25.0,0.0,3276065.0,29124,1000,39,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
HUNTINGTON NATIONAL BANK,HUNTINGTON NATIONAL BANK,MI,,water_system,0.0,0.0,3214789.0,73221,1000,196,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
MASSACHUSETTS GENERAL HOSPITAL,MASSACHUSETTS GENERAL HOSPITAL,MA,SUFFOLK,industrial,30.0,27250.0,3212991.0,11768,962,401,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
SAN DIEGO STATE UNIVERSITY,SAN DIEGO STATE UNIVERSITY,CA,SAN DIEGO,industrial,10.0,0.0,3187030.0,6149,307,140,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
US DEPT OF VETERANS AFFAIRS VA GREAT LA,US DEPT OF VETERANS AFFAIRS VA GREAT LA,CA,LOS ANGELES,industrial,10.0,0.0,3167920.0,20727,1000,563,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
WASHINGTON STATE UNIVERSITY,WASHINGTON STATE UNIVERSITY,WA,WHITMAN,water_system,25.0,0.0,3156058.0,32174,1000,507,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
MEMORIAL HOSPITAL EAST,MEMORIAL HOSPITAL EAST,IL,ST CLAIR,industrial,25.0,0.0,3139252.0,28314,1000,715,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
A & A SHEET METAL PRODUCTS,A A SHEET METAL PRODUCTS,IN,,water_system,0.0,0.0,3138492.0,18159,1000,249,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
EDW C LEVY CO - PLANT 6,EDW C LEVY PLANT 6,MI,WAYNE,industrial,15.0,0.0,3098855.0,687,58,165,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
