rank,ida_name,county,pay_to_play_score,total_projects,total_exemptions,net_exemptions,total_beneficiaries,num_donor_beneficiaries,donor_rate_pct,total_donations,donor_exemptions,avg_exemption_per_donation_dollar,num_officials_receiving,official_total_received,num_pipelines,jobs_promised,jobs_current,jobs_deficit_pct,concentration_top5_pct,pct_donor_rate,pct_official,pct_concentration,pct_jobs_deficit,pct_dollar_ratio
51,Steuben County Industrial Development Agency,Steuben,52.18,445,174263916.98,90238678.25,68,16,23.53,303826.94,34007643.02,111.93,14,74832.0,31,58716,56197,4.29,44.78,53.4,70.9,17.5,62.1,56.3
52,Mount Pleasant Industrial Development Agency,Mount Pleasant,52.14,85,65516644.77,40424703.4,16,3,18.75,49874.11,15373728.9,308.25,4,34250.0,4,27950,41901,0,89.5,36.4,57.3,73.8,27.2,80.6
53,Brookhaven Industrial Development Agency,Brookhaven,51.7,770,328122524.5,172155843.5,159,42,26.42,554892.48,61314114.0,110.5,14,185350.0,42,44190,56303,0,43.39,61.2,82.5,15.5,27.2,55.3
54,Suffolk County Industrial Development Agency,Suffolk,51.36,1120,273768543.57,104812942.9,176,50,28.41,734752.59,31524119.0,42.9,18,363265.7,54,145850,174429,0,34.26,66.0,91.3,7.8,27.2,31.1
55,Babylon Industrial Development Agency,Babylon,51.21,1420,294098128.5,132054592.2,229,58,25.33,793918.88,55198842.61,69.53,19,472204.2,101,111831,115351,0,32.82,59.2,94.2,6.8,27.2,44.7
56,Middletown Industrial Development Agency,Middletown,50.56,49,7365166.66,5182583.07,7,2,28.57,2000.0,327210.55,163.61,0,0.0,0,1754,1970,0,95.74,68.0,7.3,87.4,27.2,68.0
57,Dunkirk Industrial Development Agency,Dunkirk,50.02,19,1892347.14,1466675.46,5,1,20.0,1065.0,218250.0,204.93,0,0.0,0,269,254,5.58,100.0,41.3,7.3,95.6,64.1,70.9
58,Essex County Industrial Development Agency,Essex,49.9,94,15410660.96,14773482.08,16,3,18.75,9000.0,17935125.75,1992.79,3,10565.0,3,2388,6189,0,87.75,36.4,43.7,70.9,27.2,98.1
59,Otsego County Industrial Development Agency,Otsego,49.51,94,13281193.96,7478864.09,16,3,18.75,25285.0,1610728.62,63.7,3,2854.91,4,5507,4040,26.64,82.59,36.4,34.0,64.1,87.4,41.7
60,Oneida County Industrial Development Agency,Oneida,49.42,757,139650685.57,93094590.71,137,30,21.9,380772.93,59859023.83,157.2,14,179400.99,30,58086,66953,0,51.64,47.6,81.6,20.4,27.2,66.0
61,Tioga County Industrial Development Agency,Tioga,49.37,131,104351993.14,51678233.62,23,3,13.04,199318.0,29428735.66,147.65,5,39475.0,6,33816,28501,15.72,81.82,14.6,59.2,61.2,77.7,63.1
62,Hamburg Industrial Development Agency,Hamburg,49.22,338,29350575.68,16748892.18,66,19,28.79,236189.67,3674419.51,15.56,13,96521.6,20,10545,18398,0,44.58,70.9,75.7,16.5,27.2,16.5
63,Syracuse Industrial Development Agency,Syracuse,48.69,554,232367900.5,198388912.94,96,18,18.75,172984.25,158091962.35,913.91,13,39407.6,19,80948,85095,0,72.91,36.4,58.3,48.5,27.2,94.2
64,Saratoga County Industrial Development Agency,Saratoga,46.94,282,119251999.81,45653161.79,59,10,16.95,112679.11,3175348.12,28.18,12,87342.61,17,32886,43332,0,88.18,26.2,72.8,71.8,27.2,24.3
