corridor,source_state,dest_state,count,source_region,dest_region
MI→OH,MI,OH,1,Midwest,Midwest
CO→IN,CO,IN,1,West,Midwest
KY→KS,KY,KS,1,South,Midwest
TN→PR,TN,PR,1,South,Other
SC→NC,SC,NC,1,South,South
CO→NM,CO,NM,1,West,West
NC→AE,NC,AE,1,South,Other
AL→NC,AL,NC,1,South,South
UT→WA,UT,WA,1,West,West
MT→WV,MT,WV,1,West,South
MN→NV,MN,NV,1,Midwest,West
MS→AL,MS,AL,1,South,South
TX→NM,TX,NM,1,South,West
VA→MA,VA,MA,1,South,Northeast
KS→AR,KS,AR,1,Midwest,South
TX→IA,TX,IA,1,South,Midwest
PA→CO,PA,CO,1,Northeast,West
AR→KY,AR,KY,1,South,South
WI→IN,WI,IN,1,Midwest,Midwest
CA→LA,CA,LA,1,West,South
CA→AZ,CA,AZ,1,West,West
CA→HI,CA,HI,1,West,West
NC→NJ,NC,NJ,1,South,Northeast
NY→NV,NY,NV,1,Northeast,West
TX→WA,TX,WA,1,South,West
TX→NY,TX,NY,1,South,Northeast
HI→TN,HI,TN,1,West,South
MD→OH,MD,OH,1,South,Midwest
PA→IL,PA,IL,1,Northeast,Midwest
FL→IL,FL,IL,1,South,Midwest
NY→PA,NY,PA,1,Northeast,Northeast
NC→MO,NC,MO,1,South,Midwest
MD→NY,MD,NY,1,South,Northeast
OR→GA,OR,GA,1,West,South
PA→DC,PA,DC,1,Northeast,South
WA→NM,WA,NM,1,West,West
IL→WI,IL,WI,1,Midwest,Midwest
FL→MS,FL,MS,1,South,South
FL→WI,FL,WI,1,South,Midwest
NV→OH,NV,OH,1,West,Midwest
CA→UT,CA,UT,1,West,West
WV→FL,WV,FL,1,South,South
PA→MD,PA,MD,1,Northeast,South
MS→NY,MS,NY,1,South,Northeast
TX→AZ,TX,AZ,1,South,West
NJ→CT,NJ,CT,1,Northeast,Northeast
IN→IA,IN,IA,1,Midwest,Midwest
OH→AL,OH,AL,1,Midwest,South
VA→MD,VA,MD,1,South,South
NJ→KY,NJ,KY,1,Northeast,South
PA→LA,PA,LA,1,Northeast,South
CO→ID,CO,ID,1,West,West
SC→TN,SC,TN,1,South,South
ID→MI,ID,MI,1,West,Midwest
SD→IL,SD,IL,1,Midwest,Midwest
MN→ND,MN,ND,1,Midwest,Midwest
KS→IA,KS,IA,1,Midwest,Midwest
TN→AL,TN,AL,1,South,South
NV→HI,NV,HI,1,West,West
KY→DC,KY,DC,1,South,South
NC→MS,NC,MS,1,South,South
MD→CA,MD,CA,1,South,West
GA→MI,GA,MI,1,South,Midwest
IN→NY,IN,NY,1,Midwest,Northeast
PA→TN,PA,TN,1,Northeast,South
NY→WV,NY,WV,1,Northeast,South
IN→CA,IN,CA,1,Midwest,West
NV→MI,NV,MI,1,West,Midwest
VA→OH,VA,OH,1,South,Midwest
OR→NV,OR,NV,1,West,West
FL→CO,FL,CO,1,South,West
NC→MI,NC,MI,1,South,Midwest
CA→MI,CA,MI,1,West,Midwest
XX→WA,XX,WA,1,Other,West
AL→MN,AL,MN,1,South,Midwest
HI→TX,HI,TX,1,West,South
CO→WV,CO,WV,1,West,South
CA→VA,CA,VA,1,West,South
NY→CA,NY,CA,1,Northeast,West
VA→NC,VA,NC,1,South,South
OH→PA,OH,PA,1,Midwest,Northeast
IL→NJ,IL,NJ,1,Midwest,Northeast
GA→VA,GA,VA,1,South,South
FL→KY,FL,KY,1,South,South
VT→MA,VT,MA,1,Northeast,Northeast
VA→PR,VA,PR,1,South,Other
IL→MI,IL,MI,1,Midwest,Midwest
SC→VA,SC,VA,1,South,South
CO→OK,CO,OK,1,West,South
XX→MO,XX,MO,1,Other,Midwest
MA→PA,MA,PA,1,Northeast,Northeast
NH→PA,NH,PA,1,Northeast,Northeast
PA→RI,PA,RI,1,Northeast,Northeast
NM→AR,NM,AR,1,West,South
ME→MA,ME,MA,1,Northeast,Northeast
MI→CA,MI,CA,1,Midwest,West
OH→FL,OH,FL,1,Midwest,South
FL→CT,FL,CT,1,South,Northeast
OH→SC,OH,SC,1,Midwest,South
TN→OR,TN,OR,1,South,West
NM→CO,NM,CO,1,West,West
NY→KS,NY,KS,1,Northeast,Midwest
WV→GA,WV,GA,1,South,South
CA→IA,CA,IA,1,West,Midwest
CO→TN,CO,TN,1,West,South
NJ→VA,NJ,VA,1,Northeast,South
TX→KS,TX,KS,1,South,Midwest
AR→VA,AR,VA,1,South,South
WI→MD,WI,MD,1,Midwest,South
AZ→UT,AZ,UT,1,West,West
IL→TN,IL,TN,1,Midwest,South
KS→WA,KS,WA,1,Midwest,West
PA→MS,PA,MS,1,Northeast,South
MA→CA,MA,CA,1,Northeast,West
PA→NC,PA,NC,1,Northeast,South
NC→TN,NC,TN,1,South,South
MS→MI,MS,MI,1,South,Midwest
CT→DE,CT,DE,1,Northeast,South
AR→IN,AR,IN,1,South,Midwest
FL→CA,FL,CA,1,South,West
GA→PR,GA,PR,1,South,Other
AZ→TX,AZ,TX,1,West,South
MA→IL,MA,IL,1,Northeast,Midwest
IL→MN,IL,MN,1,Midwest,Midwest
NY→MT,NY,MT,1,Northeast,West
TX→MS,TX,MS,1,South,South
MI→IN,MI,IN,1,Midwest,Midwest
IL→VA,IL,VA,1,Midwest,South
OR→NE,OR,NE,1,West,Midwest
DC→MD,DC,MD,1,South,South
OH→CA,OH,CA,1,Midwest,West
WI→CA,WI,CA,1,Midwest,West
GA→CA,GA,CA,1,South,West
MA→CO,MA,CO,1,Northeast,West
MN→NC,MN,NC,1,Midwest,South
SC→NY,SC,NY,1,South,Northeast
MO→NY,MO,NY,1,Midwest,Northeast
LA→PA,LA,PA,1,South,Northeast
MO→FL,MO,FL,1,Midwest,South
MD→IL,MD,IL,1,South,Midwest
TX→GA,TX,GA,1,South,South
RI→TX,RI,TX,1,Northeast,South
